date,Open,High,Low,Close,Volume,Ticker
2025-10-01 15:59:00,2.4200,2.4300,2.4003,2.4003,285.0000,AIHS
2025-10-01 15:58:00,2.4000,2.4000,2.4000,2.4000,435.0000,AIHS
2025-10-01 15:57:00,2.4400,2.4900,2.3900,2.3900,420.0000,AIHS
2025-10-01 15:56:00,2.3800,2.4400,2.3700,2.4400,264.0000,AIHS
2025-10-01 15:55:00,2.3800,2.3900,2.3800,2.3800,2178.0000,AIHS
2025-10-01 15:54:00,2.3895,2.3895,2.3895,2.3895,50.0000,AIHS
2025-10-01 15:52:00,2.3900,2.3900,2.3900,2.3900,1153.0000,AIHS
2025-10-01 15:50:00,2.3700,2.3900,2.3700,2.3900,2073.0000,AIHS
2025-10-01 15:48:00,2.3800,2.3800,2.3700,2.3800,1881.0000,AIHS
2025-10-01 15:47:00,2.3700,2.3800,2.3700,2.3800,704.0000,AIHS
2025-10-01 15:46:00,2.3600,2.3800,2.3300,2.3300,2118.0000,AIHS
2025-10-01 15:45:00,2.3700,2.3700,2.3700,2.3700,77.0000,AIHS
2025-10-01 15:44:00,2.3600,2.3600,2.3600,2.3600,200.0000,AIHS
2025-10-01 15:43:00,2.3606,2.3700,2.3606,2.3700,122.0000,AIHS
2025-10-01 15:41:00,2.3400,2.3600,2.3400,2.3600,176.0000,AIHS
2025-10-01 15:40:00,2.3400,2.3400,2.3000,2.3300,335.0000,AIHS
2025-10-01 15:39:00,2.3400,2.3400,2.3300,2.3400,5760.0000,AIHS
2025-10-01 15:38:00,2.3400,2.3400,2.3400,2.3400,430.0000,AIHS
2025-10-01 15:37:00,2.3393,2.3393,2.3300,2.3300,511.0000,AIHS
2025-10-01 15:36:00,2.3400,2.3400,2.3100,2.3400,259.0000,AIHS
2025-10-01 15:35:00,2.3700,2.3700,2.3400,2.3400,1241.0000,AIHS
2025-10-01 15:34:00,2.3900,2.3900,2.3700,2.3701,5650.0000,AIHS
2025-10-01 15:33:00,2.3900,2.3900,2.3700,2.3700,867.0000,AIHS
2025-10-01 15:32:00,2.3700,2.3900,2.3700,2.3900,2450.0000,AIHS
2025-10-01 15:31:00,2.3893,2.3893,2.3800,2.3800,10.0000,AIHS
2025-10-01 15:29:00,2.3800,2.3800,2.3800,2.3800,221.0000,AIHS
2025-10-01 15:28:00,2.3800,2.3800,2.3800,2.3800,586.0000,AIHS
2025-10-01 15:26:00,2.3900,2.3900,2.3900,2.3900,100.0000,AIHS
2025-10-01 15:25:00,2.3800,2.3800,2.3800,2.3800,105.0000,AIHS
2025-10-01 15:22:00,2.4000,2.4000,2.4000,2.4000,220.0000,AIHS
2025-10-01 15:18:00,2.4500,2.4500,2.4500,2.4500,233.0000,AIHS
2025-10-01 15:17:00,2.3900,2.4000,2.3900,2.4000,190.0000,AIHS
2025-10-01 15:16:00,2.4000,2.4000,2.4000,2.4000,22.0000,AIHS
2025-10-01 15:15:00,2.3711,2.3716,2.3711,2.3716,33.0000,AIHS
2025-10-01 15:13:00,2.3700,2.3700,2.3700,2.3700,249.0000,AIHS
2025-10-01 15:12:00,2.3700,2.3700,2.3700,2.3700,6.0000,AIHS
2025-10-01 15:11:00,2.3700,2.3700,2.3700,2.3700,330.0000,AIHS
2025-10-01 15:10:00,2.3800,2.3800,2.3800,2.3800,10.0000,AIHS
2025-10-01 15:09:00,2.3800,2.3800,2.3800,2.3800,100.0000,AIHS
2025-10-01 15:07:00,2.3700,2.3800,2.3700,2.3800,541.0000,AIHS
2025-10-01 15:06:00,2.3800,2.3800,2.3800,2.3800,228.0000,AIHS
2025-10-01 15:04:00,2.3900,2.3991,2.3787,2.3991,515.0000,AIHS
2025-10-01 15:03:00,2.3800,2.3900,2.3800,2.3802,690.0000,AIHS
2025-10-01 15:02:00,2.4200,2.4200,2.3800,2.3900,9447.0000,AIHS
2025-10-01 15:01:00,2.4100,2.4100,2.4100,2.4100,100.0000,AIHS
2025-10-01 15:00:00,2.4000,2.4000,2.4000,2.4000,262.0000,AIHS
2025-10-01 14:59:00,2.4400,2.4400,2.3900,2.3900,1709.0000,AIHS
2025-10-01 14:57:00,2.4400,2.4498,2.4400,2.4498,162.0000,AIHS
2025-10-01 14:54:00,2.4400,2.4400,2.4400,2.4400,17.0000,AIHS
2025-10-01 14:53:00,2.4500,2.4500,2.4500,2.4500,262.0000,AIHS
2025-10-01 14:51:00,2.4300,2.4300,2.4300,2.4300,300.0000,AIHS
2025-10-01 14:50:00,2.4500,2.4500,2.4500,2.4500,410.0000,AIHS
2025-10-01 14:49:00,2.4500,2.4505,2.4500,2.4505,57.0000,AIHS
2025-10-01 14:47:00,2.4514,2.4514,2.4500,2.4500,81.0000,AIHS
2025-10-01 14:46:00,2.4501,2.4501,2.4501,2.4501,10.0000,AIHS
2025-10-01 14:44:00,2.4300,2.4300,2.4300,2.4300,173.0000,AIHS
2025-10-01 14:42:00,2.4300,2.4300,2.4300,2.4300,504.0000,AIHS
2025-10-01 14:40:00,2.5100,2.5100,2.5100,2.5100,1.0000,AIHS
2025-10-01 14:38:00,2.4700,2.4700,2.4300,2.4300,174.0000,AIHS
2025-10-01 14:37:00,2.4800,2.5200,2.4800,2.5200,688.0000,AIHS
2025-10-01 14:36:00,2.4700,2.4800,2.4700,2.4800,577.0000,AIHS
2025-10-01 14:35:00,2.4500,2.4700,2.4500,2.4700,500.0000,AIHS
2025-10-01 14:33:00,2.4800,2.4800,2.4800,2.4800,32.0000,AIHS
2025-10-01 14:32:00,2.4800,2.5300,2.4300,2.4800,191.0000,AIHS
2025-10-01 14:31:00,2.4599,2.4800,2.4300,2.4300,390.0000,AIHS
