Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Shs Float,Shares Outstanding
AIIO,Robo.ai Inc,Consumer Cyclical,Auto Manufacturers,United Arab Emirates,765570000.0,,2.62,0.3575,29704978.0,175.09M,252.92M
CRE,Cre8 Enterprise Ltd,Industrials,Specialty Business Services,Hong Kong,24170000.0,29.24,1.0,0.3333,52492921.0,13.16M,19.45M
EPOW,Sunrise New Energy Co. Ltd,Industrials,Electrical Equipment & Parts,China,37790000.0,,1.4,0.5573,51344415.0,13.83M,20.42M
IBG,Innovation Beverage Group Ltd,Consumer Defensive,Beverages - Wineries & Distilleries,Australia,10200000.0,,4.39,0.3937,66151886.0,1.39M,8.16M
SPRC,SciSparc Ltd,Healthcare,Biotechnology,Israel,3220000.0,,6.04,0.3543,35934531.0,0.53M,0.53M
