Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BBLG,Bone Biologics Corp,Healthcare,Medical Devices,USA,5120000.0,,2.85,0.3768,120810910.0
BSLK,Bolt Projects Holdings Inc,Basic Materials,Specialty Chemicals,USA,8760000.0,,4.25,0.4706,41836675.0
CIGL,Concorde International Group Ltd,Industrials,Security & Protection Services,Singapore,64980000.00000001,,2.91,0.9795999999999999,132744031.0
HWH,HWH International Inc,Consumer Cyclical,Leisure,USA,40150000.0,,6.2,0.3995,42181526.0
NCI,Neo Concept International Group Holdings Ltd,Consumer Cyclical,Apparel Manufacturing,Hong Kong,8240000.0,7.97,2.03,0.1278,19027577.0
SNTG,Sentage Holdings Inc,Financial,Credit Services,China,6390000.0,,2.28,0.1457,5804348.0
ZNB,Zeta Network Group,Communication Services,Entertainment,USA,760000.0,,1.3,-0.051100000000000007,176558884.0
