Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ADTX,0.02,0.92,-12.73%,1.2,2821193017.0,120.0,0.80M,0.82M,1.45%,0.09%,11.67%,0.02M
AZTR,0.23,0.3395,0.00%,0.3395,141988878.0,33.95,16.19M,16.19M,0.02%,3.34%,0.38%,3.72M
CDT,1.5,0.4706,4.90%,0.402,112408112.0,40.2,1.63M,4.86M,66.50%,0.00%,3.28%,7.29M
CRMT,3.01,0.25420000000000004,-14.00%,0.4583,48110525.0,45.83,7.61M,8.30M,8.38%,96.71%,18.61%,24.98M
EHGO,4.06,1.2556,48.18%,0.5222,116617731.0,52.22,1.26M,1.49M,38.04%,1.09%,1.16%,8.24M
GETY,1.15,0.9005,-11.54%,1.1484,212774213.0,114.84,84.98M,418.96M,79.72%,13.46%,18.87%,481.80M
ICCM,5.93,0.0981,-15.77%,0.3037,15857830.0,30.37,1.24M,2.71M,55.73%,3.84%,1.93%,16.66M
NXTS,13.0,1.5591,17.12%,1.185,61180009.0,118.5,0.55M,0.73M,46.83%,1.54%,4.56%,13.52M
SAGT,1.31,0.3232,-18.63%,0.6263000000000001,40787001.0,62.63,5.18M,17.65M,66.26%,0.20%,4.87%,26.00M
SKYQ,1.9,0.6239,18.01%,0.3761,219414322.0,37.61,3.85M,4.79M,19.72%,8.52%,8.50%,9.10M
TNON,0.62,0.7757,-7.93%,0.9286,269761526.0,92.86,10.03M,11.30M,15.40%,3.10%,1.49%,7.36M
WKSP,0.84,0.1361,-14.46%,0.3281,58294336.0,32.81,9.81M,11.93M,21.69%,7.53%,9.59%,10.50M
