Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AGPU,10.62,28.42%,35.46%,-0.052,2628659,8494245.0,11384940.0,0.056599997,0.03878,0.0701,Technology,Software - Infrastructure,United States,120908064.0
APUS,4.28,-5.93%,24.06%,-0.2418,1617033,,1509118.0,0.58705,0.028250001,0.033299997,Healthcare,Drug Manufacturers - Specialty & Generic,United States,6459025.0
CDTG,2.8,33.97%,29.03%,0.0383,5992424,2766994.0,3021027.0,0.06057,0.00966,0.0053,Industrials,Waste Management,China,8458875.0
OSRH,0.59,86.71%,70.03%,0.0981,370702669,14659947.0,35118692.0,0.48971,0.01891,0.078099996,Healthcare,Biotechnology,United States,20720028.0
RETO,1.67,30.47%,34.68%,-0.0312,12206546,3269702.0,8219891.0,0.00082,6.0000002e-05,0.0015,Basic Materials,Building Materials,China,14144718.0
SNYR,0.15,55.37%,64.61%,-0.0562,194962068,8170053.0,14899883.0,0.47976002,0.04513,0.0138,Healthcare,Medical Distribution,United States,2307991.0
VCX,41.0,19.19%,22.28%,-0.0253,2401603,,,0.0,0.01155,,Financial Services,Asset Management,United States,
WETO,24.59,199.15%,142.03%,0.236,34433803,176268.0,820800.0,0.01512,0.00166,0.0089,Technology,Software - Infrastructure,United States,20183472.0
WFF,2.02,40.28%,34.67%,0.0417,86038680,1597354.0,9070276.0,0.08208,4.0000003e-05,0.0047,Industrials,Specialty Industrial Machinery,Malaysia,18321958.0
XHLD,7.36,25.17%,22.87%,0.0187,1584744,10191127.0,11977443.0,0.13074,0.00764,0.0049,Communication Services,Broadcasting,United States,88153984.0
