Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding
BJDX,0.54,0.17,0.3696,0.44060000000000005,-0.1389,-0.8281000000000001,0.6984,76.23,2.14,0.38060000000000005,8.63%,0.271,42284376.0,27.1,1.49M,1.49M
BTQ,-10.5,1.28,1.2197,1.9655,3.1382,0.5055,73.9457,83.82,13.79,0.5154,25.59%,0.2066,26374362.0,20.66,92.66M,132.55M
CISS,1.56,0.42,0.7375,0.47590000000000005,-0.0793,-0.7829,1.035,80.18,4.07,0.8416,27.19%,0.44799999999999995,93259506.0,44.8,0.64M,0.92M
COCH,2.07,0.16,0.5051,0.2853,0.1167,-0.5329999999999999,1.1457,69.97,1.59,0.9706999999999999,-1.85%,1.0079,145420573.0,100.79,11.28M,21.52M
DVLT,0.39,0.29,1.8437000000000001,3.1599,1.7636,-0.0542,9.0717,85.0,2.53,0.2163,-6.99%,0.3077,171541232.0,30.77,11.00M,86.66M
GLTO,1.39,2.4,3.2886,3.9328,3.7197000000000005,0.9269,7.9154,93.15,17.92,3.8301999999999996,-26.26%,5.5499,76832617.0,554.99,1.16M,1.32M
LXEO,1.67,0.58,0.3824,0.5819,0.9131,-0.2884,4.7517000000000005,83.37,8.34,0.289,1.46%,0.2705,9539354.0,27.05,42.60M,54.00M
NAK,-0.66,0.13,0.7594,1.0026000000000002,0.9431999999999999,-0.2167,5.266699999999999,86.87,1.88,0.245,-6.47%,0.3311,55020918.0,33.11,542.43M,551.75M
SMTK,2.84,0.45,0.057300000000000004,0.4976,-0.0358,-0.7564,2.2479,53.41,1.9,-0.3141,-47.95%,0.3177,988129.0,31.77,2.63M,4.44M
SPRB,1.87,19.53,6.6649,11.376600000000002,9.937999999999999,0.0741,41.7135,97.95,182.6,0.4003,-13.85%,0.6254,2026575.0,62.54,0.47M,0.56M
TELO,-0.62,0.12,0.2676,0.2064,-0.3477,-0.7456999999999999,0.6071,70.43,1.8,0.2676,3.45%,0.2254,18229785.0,22.54,16.79M,30.51M
TMQ,1.16,0.56,1.7945,2.3858,3.2069,1.621,12.8004,92.58,6.5,2.11,-10.84%,2.488,210974327.0,248.8,99.34M,164.29M
ULY,1.04,0.51,-0.0447,-0.17620000000000002,-0.3909,-0.8077,0.258,43.57,3.46,0.109,-35.08%,0.7082999999999999,18053191.0,70.83,1.09M,1.28M
ZNB,2.53,0.64,0.9279999999999999,-0.3525,-0.8493,-0.9948999999999999,1.7869,57.48,3.4,1.0482,-24.78%,1.7228999999999999,147735097.0,172.29,0.58M,-
