Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
GMHS,Gamehaus Holdings Inc,Communication Services,Electronic Gaming & Multimedia,China,101780000.0,7.45,1.9,0.6814,157186903.0
IPDN,Professional Diversity Network Inc,Industrials,Staffing & Employment Services,USA,16719999.999999998,,6.69,2.4663,303148158.0
MOVE,Movano Inc,Healthcare,Medical Devices,USA,7530000.0,,1.07,0.7325,104324694.0
NEO,Neogenomics Inc,Healthcare,Diagnostics & Research,USA,1130000000.0,,8.78,0.21780000000000002,9449654.0
NUKK,Nukkleus Inc,Technology,Software - Application,USA,34440000.0,0.24,4.87,0.31980000000000003,84096448.0
SMX,SMX (Security Matters) Plc,Industrials,Specialty Business Services,Ireland,2560000.0,,2.0,0.1494,56358244.0
WOOF,Petco Health and Wellness Co Inc,Consumer Cyclical,Specialty Retail,USA,1110000000.0,,3.99,0.2353,23241942.0
YDES,YD Bio Ltd,Healthcare,Biotechnology,USA,41380000.0,,12.5,1.3585,918831.0
