Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
FBGL,0.62,0.2651,52.33,-0.1694999999999999,17858302,,,,,,,,,
FXHO,19.55,1.7153,49.64,0.8146,8139405,,,,,,,,,
LGPS,0.98,0.2854,40.0,-0.0818,15753107,,,,,,,,,
CCTG,1.12,0.2307999999999999,31.76,-0.0659,4141123,,,,,,,,,
INLF,6.38,0.4769,27.86,0.1551,4962946,,,,,,,,,
CELU,0.8,0.2909,26.98,0.0166,970643,,,,,,,,,
YYGH,1.57,0.256,25.6,0.0,1684311,,,,,,,,,
LICN,1.54,0.2623,25.2,0.0081999999999999,475649,,,,,,,,,
CRTO,23.17,0.2144,21.95,-0.0042,2680936,,,,,,,,,
TDTH,1.82,0.1592,21.33,-0.0446,22537638,,,,,,,,,
AMCI,6.05,0.2372,21.0,0.0225,407254,,,,,,,,,
FCHL,1.39,0.2087,20.87,0.0,1166653,,,,,,,,,
TBI,8.17,0.2104,20.15,0.0074,665889,,,,,,,,,
