Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
BIYA,1.35,0.5515,14.41%,0.35619999999999996,28193596.0,35.62,1.10M,1.61M,31.81%,0.05%,2.09%,2.17M
CLIK,3.49,0.358,3.25%,0.3152,40274888.0,31.52,0.78M,3.26M,84.17%,0.02%,2.04%,11.39M
EDBL,0.69,-0.2504,-46.12%,0.39130000000000004,69028986.0,39.13,0.84M,0.91M,8.54%,4.37%,6.42%,0.63M
FCHL,0.28,0.26,-10.34%,0.4053,238634276.0,40.53,0.35M,1.00M,-,1.80%,292.17%,0.32M
LOBO,0.68,0.1959,-39.40%,0.9734999999999999,198270503.0,97.35,7.41M,11.89M,41.91%,0.19%,2.18%,8.74M
LOCL,2.91,0.5478999999999999,0.00%,0.5478999999999999,81590427.0,54.79,2.52M,22.22M,88.75%,5.98%,3.09%,65.19M
SPRC,5.99,0.41609999999999997,-1.64%,0.4397,15140738.0,43.97,0.40M,0.57M,29.82%,1.13%,7.93%,3.39M
XRTX,2.69,0.1956,-8.81%,0.3111,73023252.0,31.11,0.25M,1.39M,-,3.31%,1.55%,3.74M
