Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ABVE,0.11,0.0,-79.51%,3.8816,76023984.0,388.16,23.89M,51.19M,5.35%,15.88%,15.08%,5.84M
BBCP,10.43,0.307,-7.78%,0.41729999999999995,4419202.0,41.73,20.28M,50.39M,59.76%,32.32%,4.36%,525.60M
BCDA,1.03,0.1208,-13.81%,0.3003,151174576.0,30.03,7.91M,10.94M,29.35%,6.95%,3.11%,11.72M
BESS,3.52,0.15410000000000001,-22.81%,0.4951,17656676.0,49.51,4.39M,7.07M,38.17%,11.04%,1.92%,24.98M
BGMS,1.5,0.41509999999999997,-45.05%,1.5755000000000001,105325904.0,157.55,3.46M,5.52M,37.28%,2.15%,0.76%,8.28M
DEVS,0.58,0.26940000000000003,-15.31%,0.4989,71759776.0,49.89,2.88M,4.88M,55.50%,0.36%,5.51%,7.68M
MASK,3.83,0.0596,-19.47%,0.31579999999999997,13436438.0,31.58,0.82M,0.85M,27.27%,6.91%,10.48%,4.32M
RMSG,1.83,0.6636,-43.95%,1.9682,199975056.0,196.82,5.07M,5.07M,0.00%,1.12%,5.64%,9.28M
SMTK,0.41,0.2772,-31.08%,0.8531,232200864.0,85.31,17.39M,21.20M,18.93%,7.47%,2.66%,8.77M
STI,35.72,0.5729,-16.42%,0.8818,38545632.0,88.18,2.47M,7.75M,68.07%,1.32%,2.39%,276.68M
