Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
SDOT,35.85,0.6713,73.44,-0.0364,10195668,,,,,,,,,
DGNX,1.4,0.5851,55.56,0.019,48419242,,,,,,,,,
AZI,2.91,0.5645,54.79,0.0108,45520212,,,,,,,,,
VEEA,0.26,0.0163999999999999,36.74,-0.2567,16357037,,,,,,,,,
CRIS,0.44,0.3768999999999999,36.0,0.0125,18060012,,,,,,,,,
CNET,1.21,0.3155,35.04,-0.0259,3861562,,,,,,,,,
ASTC,12.18,0.3082999999999999,31.82,-0.0075,2320411,,,,,,,,,
ATLN,1.15,0.3529,27.78,0.0588,21268870,,,,,,,,,
TNMG,1.01,1.0697,24.69,0.6598,314378428,,,,,,,,,
NERV,5.43,0.2426,24.26,0.0,376464,,,,,,,,,
ZCMD,1.19,0.249,23.44,0.0118,16137647,,,,,,,,,
SLAI,0.58,0.2484,22.22,0.0215,637943,,,,,,,,,
HKIT,0.3,0.0711,22.17,-0.1232,14132328,,,,,,,,,
AEVA,25.67,0.2288,21.77,0.0091,3449137,,,,,,,,,
PDC,5.95,0.237,21.43,0.0187,491832,,,,,,,,,
CALC,0.99,0.2097,20.37,0.005,2067006,,,,,,,,,
JSPR,0.42,0.2311,20.29,0.0235,970967,,,,,,,,,
