Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
HIHO,1.25,0.506,-8.09%,0.6386,158415312.0,63.86,2.79M,4.60M,39.27%,4.85%,0.51%,5.75M
JTAI,0.86,-0.2827,-46.20%,0.3333,16937007.0,33.33,4.17M,4.23M,1.31%,11.32%,4.65%,3.64M
OPTX,2.49,0.264,-10.75%,0.41619999999999996,94486975.0,41.62,6.21M,36.92M,83.17%,0.88%,0.36%,91.93M
PCLA,0.36,1.9244999999999999,93.55%,0.511,817673859.0,51.1,23.40M,24.68M,5.19%,1.19%,0.49%,8.88M
TRIB,1.28,0.435,-22.89%,0.861,175080411.0,86.1,17.41M,18.05M,3.57%,14.97%,0.29%,23.10M
VIVK,0.05,-0.24230000000000002,-41.75%,0.30079999999999996,507243725.0,30.08,151.41M,174.05M,13.01%,2.91%,6.21%,8.11M
