Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ARTL,1.71,0.43700000000000006,-10.47%,0.605,26033784.0,60.5,2.12M,2.33M,8.97%,12.10%,2.95%,3.99M
CODX,9.11,0.7968000000000001,32.61%,0.355,50928528.0,35.5,3.42M,3.60M,4.98%,1.44%,2.77%,32.82M
MNTS,15.48,1.0976000000000001,19.44%,0.7561,85586672.0,75.61,9.82M,9.99M,0.32%,6.42%,11.68%,154.68M
NCRA,0.3,0.22760000000000002,-34.97%,0.8878,244879344.0,88.78,6.32M,15.30M,58.68%,2.13%,3.45%,4.59M
OTLK,0.4,0.2914,-13.94%,0.5005,346266304.0,50.05,69.81M,104.61M,42.24%,9.86%,9.22%,48.37M
PHGE,1.62,0.9841,6.58%,0.8615999999999999,69944664.0,86.16,7.42M,10.15M,26.91%,1.81%,1.23%,16.44M
QTEX,1.52,1.0908,-2.56%,1.1458,217482592.0,114.58,41.91M,43.58M,3.82%,14.69%,2.16%,66.24M
SOPA,0.08,0.0,-34.31%,0.5224,44712196.0,52.24,5.70M,12.87M,3.59%,4.83%,15.19%,0.98M
UZX,0.77,0.7265,7.67%,0.6036,306083136.0,60.36,2.37M,11.16M,78.81%,0.33%,0.47%,8.60M
YMAT,1.38,2.0316,-7.38%,2.2733000000000003,120517344.0,227.33,2.52M,17.01M,85.35%,0.21%,0.81%,23.74M
