Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
APPS,7.29,0.2314,-8.53%,0.34630000000000005,32054809.0,34.63,96.54M,111.75M,13.61%,58.78%,8.77%,663.92M
BW,4.8,0.2834,-0.41%,0.2888,28965000.0,28.88,94.51M,101.10M,6.51%,30.79%,2.45%,485.26M
EVC,2.85,0.43939999999999996,16.80%,0.2323,11343684.0,23.23,62.63M,81.62M,31.16%,52.84%,1.35%,259.28M
KW,9.8,0.3119,0.41%,0.3066,5384485.0,30.66,116.58M,137.90M,15.46%,83.64%,2.70%,1.35B
LNAI,1.17,0.4029,4.46%,0.3429,168591173.0,34.29,12.61M,17.74M,45.60%,6.20%,1.61%,27.12M
NPCE,12.98,0.3809,11.61%,0.2372,1300911.0,23.72,23.56M,33.28M,28.79%,66.31%,4.60%,313.09M
RDHL,1.11,0.0278,-14.62%,0.20370000000000002,26873384.0,20.37,2.96M,3.33M,11.09%,3.08%,1.01%,3.70M
RIGL,37.85,0.3337,8.55%,0.22870000000000001,2318806.0,22.87,17.45M,18.14M,2.70%,69.14%,19.94%,515.14M
SMX,2.11,0.4354,-0.94%,0.449,77669249.0,44.9,1.08M,-,10.88%,0.00%,6.84%,2.55M
SORA,4.43,0.39149999999999996,14.34%,0.217,860452.0,21.7,4.86M,24.86M,80.44%,0.22%,0.33%,110.03M
