Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
CAST,1.55,1.4068,159.24,-0.0716,206424704,16.52M,26.93M,59.56%,1.39%,0.68%,Communication Services,Broadcasting,USA,64.08M
UBXG,7.87,0.643,30.3,0.261,35226361,1.38M,9.35M,85.20%,0.04%,0.82%,Communication Services,Advertising Agencies,China,15.74M
ZDGE,4.16,0.2568,25.68,0.0,1128774,10.24M,12.52M,21.48%,17.07%,0.70%,Communication Services,Internet Content & Information,USA,54.26M
CUPR,3.97,0.6473,22.91,0.3402,83095797,0.92M,0.92M,93.86%,0.07%,9.26%,Healthcare,Medical Instruments & Supplies,Singapore,3.65M
TGE,1.04,0.2366,22.35,0.0107,6243992,44.18M,48.46M,8.84%,1.23%,0.13%,Financial,Asset Management,France,50.40M
TBN,40.37,0.1993,20.33,-0.0033,501279,26.14M,34.86M,25.01%,24.72%,4.21%,Energy,Oil & Gas E&P,Australia,1.41B
