Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AMCX,AMC Networks Inc,Communication Services,Entertainment,USA,293380000.0,,6.53,0.0883,3150127.0
EMBC,Embecta Corp,Healthcare,Medical Instruments & Supplies,USA,717670000.0,8.59,12.28,0.18530000000000002,2062229.0
LASR,nLIGHT Inc,Technology,Semiconductors,USA,1290000000.0,,26.15,0.2775,2723396.0
LZ,LegalZoom.com Inc,Industrials,Specialty Business Services,USA,1980000000.0,67.4,10.98,0.3118,12929606.0
MRM,MEDIROM Healthcare Technologies Inc ADR,Consumer Cyclical,Personal Services,Japan,21800000.0,15.69,2.76,1.3,116625073.0
NGVC,Natural Grocers by Vitamin Cottage Inc,Consumer Defensive,Grocery Stores,USA,906690000.0,21.03,39.5,0.067,704422.0
OPRX,OptimizeRx Corp,Healthcare,Health Information Services,USA,319970000.0,,17.3,0.34740000000000004,2326689.0
OUST,Ouster Inc,Technology,Electronic Components,USA,1390000000.0,,25.8,0.11689999999999999,7378863.0
REAL,Therealreal Inc,Consumer Cyclical,Luxury Goods,USA,737520000.0,,6.4,0.16149999999999998,15799489.0
SKIN,Beauty Health Company,Consumer Defensive,Household & Personal Products,USA,239700000.0,,1.89,0.1887,7706522.0
SPRU,Spruce Power Holding Corporation,Technology,Solar,USA,27630000.0,,1.55,0.3248,75113035.0
TKNO,Alpha Teknova Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,226050000.0,,4.23,-0.0253,606997.0
