Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AEHL,Antelope Enterprise Holdings Ltd,Industrials,Building Products & Equipment,China,14800000.0,,4.33,0.17010000000000003,33512976.0
ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,134490000.0,,8.09,0.2882,45193156.0
CAMP,CAMP4 Therapeutics Corp,Healthcare,Biotechnology,USA,56250000.0,,2.79,0.402,39919233.0
CPOP,Pop Culture Group Co Ltd,Communication Services,Entertainment,China,24200000.0,,1.62,0.125,12914660.0
CUPR,Cuprina Holdings (Cayman) Ltd,Healthcare,Medical Instruments & Supplies,Singapore,34750000.0,,1.62,1.3077,57632343.0
GLE,Global Engine Group Holding Ltd,Technology,Information Technology Services,Hong Kong,24780000.0,240.0,1.08,0.43939999999999996,141239231.0
MITQ,Moving iMage Technologies Inc,Technology,Communication Equipment,USA,10530000.0,,1.06,0.1255,3512912.0
MWYN,Marwynn Holdings Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,19950000.0,,1.17,0.3611,97016760.0
PBPB,Potbelly Corp,Consumer Cyclical,Restaurants,USA,513830000.00000006,47.7,16.98,0.3132,19241384.0
RBNE,Robin Energy Ltd,Energy,Oil & Gas Midstream,Cyprus,13790000.0,,2.3,0.21050000000000002,62625040.0
TGE,Generation Essentials Group,Financial,Asset Management,France,142960000.0,,2.95,0.065,204847.0
VMEO,Vimeo Inc,Technology,Software - Application,USA,1280000000.0,101.98,7.74,0.6091,56832121.0
WLDS,Wearable Devices Ltd,Technology,Consumer Electronics,Israel,5330000.0,,5.18,4.078399999999999,286179105.0
