Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
LLGPS,1.37,0.2232,29.25,-0.0536,835216,,,,,,,,,
BBANL,0.34,-0.1703,23.92,-0.3303999999999999,606032,,,,,,,,,
AATPC,4.2,0.6667000000000001,23.17,0.3532,41204481,,,,,,,,,
TTOP,2.52,0.2,22.93,-0.0237999999999999,2292926,,,,,,,,,
SSVRE,3.14,0.2077,21.24,-0.0038,600832,,,,,,,,,
LLBGJ,2.19,0.1967,20.99,-0.0109,3211472,,,,,,,,,
CCPHI,1.23,0.1182,20.59,-0.0727,8619549,,,,,,,,,
