Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ARTL,Artelo Biosciences Inc,Healthcare,Biotechnology,USA,14760000.0,,21.6,0.35850000000000004,1075699.0
BMGL,Basel Medical Group Ltd,Healthcare,Medical Care Facilities,Singapore,68020000.0,169.95,3.62,0.9890000000000001,85473405.0
BTCT,BTC Digital Ltd,Technology,Computer Hardware,Singapore,26010000.0,,3.46,0.026699999999999998,3280060.0
EVOK,Evoke Pharma Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,10440000.0,,6.99,1.6278,139777399.0
GAME,GameSquare Holdings Inc,Communication Services,Electronic Gaming & Multimedia,USA,84510000.0,,2.16,0.40259999999999996,87082514.0
KZIA,Kazia Therapeutics Limited ADR,Healthcare,Biotechnology,Australia,9240000.0,,9.53,0.39630000000000004,10684306.0
MBIO,Mustang Bio Inc,Healthcare,Biotechnology,USA,13620000.0,,3.11,0.16920000000000002,28541784.0
PROK,ProKidney Corp,Healthcare,Biotechnology,USA,1270000000.0,,4.34,0.1635,209372610.0
SOBR,Sobr Safe Inc,Technology,Scientific & Technical Instruments,USA,7190000.0,,4.74,0.4065,25789035.0
SUGP,SU Group Holdings Ltd,Industrials,Security & Protection Services,Hong Kong,16890000.0,,1.22,1.7141,204145022.0
WKHS,Workhorse Group Inc,Consumer Cyclical,Auto Manufacturers,USA,27470000.0,,2.9,0.0701,16117436.0
