Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
BATL,4.21,0.0935,-19.04%,0.3506,43512831.0,35.06,15.55M,16.46M,14.81%,16.65%,7.97%,76.86M
BDRX,0.87,0.42229999999999995,-5.44%,0.5041,120555421.0,50.41,-,2.26M,-,0.65%,-,1.97M
COCP,1.51,0.4804,-12.21%,0.6862999999999999,136003434.0,68.63,9.08M,13.78M,34.16%,5.57%,2.36%,20.81M
GV,0.44,1.1678,61.60%,0.34149999999999997,573857445.0,34.15,3.96M,5.61M,29.46%,4.27%,1.76%,2.49M
SELX,0.53,0.509,11.17%,0.35729999999999995,88085355.0,35.73,10.88M,37.59M,71.05%,8.81%,0.85%,19.86M
SKYQ,5.1,1.0158,-8.77%,1.2095,202842371.0,120.95,2.38M,3.23M,-,9.52%,9.02%,19.17M
TURB,3.18,0.3532,-1.85%,0.3787,36027250.0,37.87,-,11.02M,-,0.66%,-,35.04M
