Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AAMIX,19.5,4.3425,262.45,0.474,120033149,,,,,,,,,
SSXTC,0.12,0.6008,64.13,-0.0247,168696003,,,,,,,,,
GGCTK,0.6,0.4428,47.99,-0.0250999999999999,55550378,,,,,,,,,
IINHD,9.12,-0.0318,42.5,-0.3206,1726214,,,,,,,,,
AADGM,0.8,0.7391,33.2,0.3057,476012110,,,,,,,,,
TTELA,0.91,0.2251,32.58,-0.0759,743609,,,,,,,,,
FFNGR,0.25,0.2037999999999999,31.13,-0.0819999999999999,4400448,,,,,,,,,
OORIC,13.47,0.2708,26.6,0.0038,5044088,,,,,,,,,
TTSAT,54.75,0.3626,24.43,0.0951,1332271,,,,,,,,,
MMGN,0.15,0.1147,23.67,-0.0987,62748847,,,,,,,,,
NNXTC,5.78,0.3136,23.24,0.0659,536284,,,,,,,,,
CCERT,7.8,-0.0465,23.18,-0.2259,10801617,,,,,,,,,
CCDTG,1.17,0.2744,23.17,0.0346,2129413,,,,,,,,,
UUPC,7.05,0.088,22.61,-0.1127,759892,,,,,,,,,
AABTS,1.26,0.2225,22.33,-0.0007,460008,,,,,,,,,
IIBTA,37.34,0.5191,21.99,0.2453,1250417,,,,,,,,,
IINFU,12.32,0.3362,21.5,0.0998,582141,,,,,,,,,
SSGLY,6.53,0.2004,20.93,-0.0074,347393,,,,,,,,,
BBRBR,12.75,-0.0154,20.85,-0.1853,11995295,,,,,,,,,
