Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ALZN,Alzamend Neuro Inc,Healthcare,Biotechnology,USA,4360000.0,,5.44,0.6386,77609778.0
BBW,Build A Bear Workshop Inc,Consumer Cyclical,Specialty Retail,USA,687110000.0,12.48,52.03,0.2162,873617.0
BOSC,B.O.S. Better Online Solutions,Technology,Communication Equipment,Israel,27540000.0,9.69,4.65,0.1985,6846435.0
NAOV,NanoVibronix Inc,Healthcare,Medical Devices,USA,3230000.0,,1.25,0.461,41712209.0
ORIC,ORIC Pharmaceuticals Inc,Healthcare,Biotechnology,USA,566570000.0,,7.97,0.335,14441505.0
PLRZ,Polyrizon Ltd,Healthcare,Biotechnology,Israel,6660000.0,,1.25,0.21359999999999998,31620274.0
STRM,"Streamline Health Solutions, Inc",Healthcare,Health Information Services,USA,22440000.0,,5.18,1.262,2997111.0
SVT,"Servotronics, Inc",Industrials,Aerospace & Defense,USA,118930000.0,,46.52,0.2278,310403.0
VCIG,VCI Global Ltd,Industrials,Consulting Services,Malaysia,8400000.0,,3.0,0.0526,20420369.0
WETO,Webus International Ltd,Technology,Software - Application,China,72820000.0,,3.31,0.6888,26949057.0
XELB,Xcel Brands Inc,Consumer Cyclical,Apparel Manufacturing,USA,6160000.0,,2.57,-0.0236,107323.0
ZEO,Zeo Energy Corp,Technology,Solar,USA,169120000.0,,3.43,1.1709,104464969.0
