Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AEVA,25.26,0.28809999999999997,-2.09%,0.3157,8432773.0,31.57,,,,,,
ASPN,6.89,0.37520000000000003,-5.62%,0.4571,14401853.0,45.71,,,,,,
CELZ,1.15,0.7195,0.88%,0.7045,272903220.0,70.45,,,,,,
CLRO,9.8,1.663,-16.13%,2.1753,69447606.0,217.53,,,,,,
ENSC,0.52,0.4483,-16.87%,0.7423000000000001,498051907.0,74.23,,,,,,
EVH,3.59,0.1656,-12.01%,0.3247,7276845.0,32.47,,,,,,
MGRX,0.53,0.23850000000000002,-10.98%,0.39130000000000004,52479884.0,39.13,,,,,,
PAVS,6.88,0.4012,-26.02%,0.8941,31362576.0,89.41,,,,,,
SURG,0.32,0.4548,-17.74%,0.7686,273800500.0,76.86,,,,,,
WYHG,9.83,1.9425999999999999,19.01%,1.4726,57781967.0,147.26,,,,,,
