Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CDTX,Cidara Therapeutics Inc,Healthcare,Biotechnology,USA,583000000.0,,44.95,1.1384,6741757.0
CRMD,CorMedix Inc,Healthcare,Biotechnology,USA,1120000000.0,73.47,16.56,0.2168,7091502.0
FBRX,Forte Biosciences Inc,Healthcare,Biotechnology,USA,84000000.0,,12.76,-0.12960000000000002,522160.0
FMTO,Femto Technologies Inc,Technology,Software - Application,Israel,3040000.0,,3.53,0.0,137974.0
GEOS,Geospace Technologies Corp,Energy,Oil & Gas Equipment & Services,USA,235640000.0,,18.4,0.6014,3323255.0
HUSA,Houston American Energy Corp,Energy,Oil & Gas E&P,USA,32310000.000000004,,18.54,0.2527,12760731.0
IBO,Impact BioMedical Inc,Healthcare,Biotechnology,USA,19460000.0,,1.61,3.4463,423373589.0
INDO,Indonesia Energy Corp Ltd,Energy,Oil & Gas E&P,Indonesia,70670000.0,,4.87,-0.0375,53507352.0
MAAS,Maase Inc,Financial,Asset Management,China,500000.0,,9.93,2.6777999999999995,1274809.0
MXC,Mexco Energy Corp,Energy,Oil & Gas E&P,USA,23250000.0,17.9,11.36,-0.0032,131690.0
NINE,Nine Energy Service Inc,Energy,Oil & Gas Equipment & Services,USA,49550000.0,,1.17,0.1359,26680506.0
OP,OceanPal Inc,Industrials,Marine Shipping,Greece,16520000.0,,2.2,0.5278,40048720.0
RBNE,Robin Energy Ltd,Energy,Oil & Gas Midstream,Cyprus,28220000.0,15.23,6.7,0.09480000000000001,15844439.0
SPTN,SpartanNash Co,Consumer Defensive,Food Distribution,USA,899390000.0,,26.57,0.5062,9138878.0
TMDE,TMD Energy Ltd,Energy,Oil & Gas Midstream,Malaysia,54440000.0,24.57,2.31,0.30510000000000004,15675948.0
WFF,WF Holding Ltd,Industrials,Specialty Industrial Machinery,Malaysia,165630000.0,1302.0,6.51,-0.0753,650016.0
XTLB,X.T.L. Biopharmaceuticals Ltd. ADR,Healthcare,Biotechnology,Israel,8990000.0,,1.02,0.0731,34239.0
