Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
ASST,Asset Entities Inc,Communication Services,Internet Content & Information,USA,79800000.0,,4.8,0.086,18301826.0
CAPS,Capstone Holding Corp,Basic Materials,Building Materials,USA,9540000.0,,1.71,0.5545,104460925.0
HCWB,HCW Biologics Inc,Healthcare,Biotechnology,USA,11940000.0,,5.55,0.6082,87476272.0
OPAD,Offerpad Solutions Inc,Real Estate,Real Estate Services,USA,111320000.0,,3.64,1.3636000000000001,151926276.0
OSRH,OSR Holdings Inc,Healthcare,Biotechnology,USA,21800000.0,,1.01,0.9612,236643714.0
QH,Quhuo Ltd ADR,Technology,Software - Application,China,5380000.0,,5.44,0.005699999999999999,285341.0
QIPT,Quipt Home Medical Corp,Healthcare,Medical Distribution,USA,113380000.0,,2.61,0.214,9112931.0
STSS,Sharps Technology Inc,Healthcare,Medical Instruments & Supplies,USA,10590000.0,,10.35,0.4072,24733612.0
SUGP,SU Group Holdings Ltd,Industrials,Security & Protection Services,Hong Kong,7230000.0,,5.22,0.19920000000000002,181552.0
VELO,Velo3D Inc,Technology,Computer Hardware,USA,73240000.0,,3.68,-0.054000000000000006,10110273.0
