Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
CCPHI,8.1,7.9011,841.86,-0.0549,93618258,,,,,,,,,
OOMH,0.81,2.227,223.09,-0.0012,304781385,,,,,,,,,
JJZXN,1.93,0.6783,67.83,0.0,35888202,,,,,,,,,
DDFNS,6.57,0.5423,56.8,-0.0163999999999999,21504537,,,,,,,,,
GGREE,2.91,0.3661999999999999,34.72,0.0141,14022412,,,,,,,,,
WWGRX,3.52,0.2989,29.41,0.0037,548646,,,,,,,,,
GGRML,0.25,0.313,28.95,0.0182,20039406,,,,,,,,,
NNXXT,0.35,0.2588,27.07,-0.0093999999999999,19961406,,,,,,,,,
RRCON,0.43,0.0993999999999999,24.29,-0.1155,28165317,,,,,,,,,
CCDTG,1.01,-0.1855,23.73,-0.3417,469455,,,,,,,,,
SSUGP,0.54,0.198,20.57,-0.0064,2055730,,,,,,,,,
DDYAI,1.47,0.2148999999999999,20.49,0.0083,726178,,,,,,,,,
