Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ABTS,2.14,1.1579000000000002,35.44%,0.5932,103410768.0,59.32,2.18M,19.55M,34.19%,5.97%,3.83%,6.34M
AIM,0.9,1.2035,61.94%,0.3607,359965952.0,36.07,13.69M,14.56M,6.01%,1.17%,1.00%,13.09M
ANY,4.02,1.1158,27.01%,0.6658,128250144.0,66.58,4.10M,4.24M,3.36%,3.11%,3.63%,17.06M
CRE,3.29,0.2462,-8.86%,0.3674,7155744.0,36.74,1.10M,1.64M,82.04%,0.01%,0.51%,6.63M
GNTA,1.65,0.6019,-10.08%,0.7816,64613348.0,78.16,-,23.43M,-,8.70%,-,38.66M
HKIT,6.58,3.5068,105.95%,1.1884000000000001,90453368.0,118.84,0.42M,21.11M,98.00%,0.05%,24.99%,57.13M
HUBC,0.51,0.9723999999999999,-2.57%,1.0245,417530720.0,102.45,-,0.20M,0.00%,1.30%,-,0.66M
JZ,3.1,3.2582,220.21%,0.3298,48563004.0,32.98,-,46.34M,-,0.19%,-,143.65M
MASK,5.45,0.5223,0.74%,0.5112,27263834.0,51.12,0.82M,0.85M,27.27%,6.91%,10.48%,6.16M
NAMM,2.08,0.36840000000000006,-7.14%,0.47369999999999995,29641966.0,47.37,4.49M,54.48M,91.76%,2.48%,9.26%,113.32M
OPTU,1.16,0.7624,-2.52%,0.8079999999999999,125085560.0,80.8,260.83M,293.26M,45.26%,62.15%,12.13%,552.70M
SOAR,0.25,0.4559,-41.28%,1.4794,638648960.0,147.94,27.46M,30.90M,11.14%,1.31%,8.45%,7.65M
SOPA,0.08,0.0,-34.31%,0.5224,44712196.0,52.24,5.70M,12.87M,3.59%,4.83%,19.64%,0.98M
TGHL,1.35,2.8815,-36.32%,5.0955,133040144.0,509.55,12.72M,14.87M,49.71%,0.48%,1.72%,34.15M
