Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AGRI,AgriFORCE Growing Systems ltd,Consumer Defensive,Farm Products,Canada,7500000.0,,5.73,1.3776,121317030.0
ARBB,ARB IOT Group Ltd,Technology,Information Technology Services,Singapore,17990000.0,,10.19,0.6304,12285785.0
ARBE,Arbe Robotics Ltd,Technology,Software - Infrastructure,Israel,193500000.0,,1.84,0.1429,46025553.0
BKKT,Bakkt Holdings Inc,Technology,Software - Infrastructure,USA,339730000.0,,14.7,0.408,19420490.0
BOXL,Boxlight Corporation,Technology,Consumer Electronics,USA,12670000.0,,4.77,2.0577,218075112.0
FLGC,Flora Growth Corp,Healthcare,Drug Manufacturers - Specialty & Generic,USA,19390000.0,,33.51,0.23199999999999998,1283900.0
HOUS,Anywhere Real Estate Inc,Real Estate,Real Estate Services,USA,1150000000.0,,10.29,0.45539999999999997,30958610.0
LASE,Laser Photonics Corp,Industrials,Specialty Industrial Machinery,USA,66379999.99999999,,4.65,0.10710000000000001,11025349.0
MBX,MBX Biosciences Inc,Healthcare,Biotechnology,USA,671880000.0,,20.0,1.0,28247756.0
ODP,ODP Corporation,Consumer Cyclical,Specialty Retail,USA,832730000.0,22.96,27.68,0.3295,6285821.0
PRO,Pros Holdings Inc,Technology,Software - Application,USA,1110000000.0,,23.02,0.4028,15765797.0
QLGN,Qualigen Therapeutics Inc,Healthcare,Biotechnology,USA,9380000.0,,5.53,0.9472,60174749.0
TARA,Protara Therapeutics Inc,Healthcare,Biotechnology,USA,141600000.0,,3.67,0.1505,3089300.0
