Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
CGTL,0.7,1.5149,146.79,0.0191,116230028,16.38M,17.23M,36.35%,0.57%,1.02%,Consumer Cyclical,Specialty Retail,Hong Kong,17.98M
MASK,4.13,1.9928,118.52,0.3696,148123476,0.82M,0.85M,27.27%,6.91%,10.48%,Technology,Software - Application,China,4.67M
TOPP,2.75,0.7857,75.16,0.0195,4320005,6.50M,19.70M,67.01%,0.37%,0.03%,Industrials,Trucking,USA,54.18M
NTCL,0.81,0.4515,62.75,-0.1081,57659949,11.79M,18.49M,46.37%,1.51%,0.98%,Technology,Software - Application,Singapore,16.11M
VCIG,5.79,0.2113,54.4,-0.2155,6428250,4.57M,6.63M,31.17%,0.33%,3.88%,Industrials,Consulting Services,Malaysia,38.41M
CUPR,3.3,0.4897999999999999,49.32,-0.0023,3016283,7.37M,7.37M,65.66%,0.05%,0.47%,Healthcare,Medical Instruments & Supplies,Singapore,3.04M
DBGI,0.49,0.3942,42.07,-0.0187,5950380,22.99M,22.99M,0.00%,4.20%,5.12%,Consumer Cyclical,Apparel Retail,USA,11.33M
AKTX,22.05,0.3846,39.38,-0.0066,1646428,1.14M,1.14M,0.40%,5.91%,5.67%,Healthcare,Biotechnology,USA,25.14M
UZX,0.81,-0.0301,38.04,-0.2973,4738710,2.37M,11.16M,78.81%,0.33%,0.47%,Consumer Cyclical,Internet Retail,Japan,9.04M
CODX,11.19,0.5329,37.64,0.1137,19233625,3.42M,3.60M,4.98%,1.40%,5.68%,Healthcare,Medical Devices,USA,40.31M
ASTC,29.43,1.1311,35.06,0.5778,45359186,1.38M,1.76M,21.73%,6.42%,3.00%,Technology,Scientific & Technical Instruments,USA,51.77M
FATN,7.66,0.5892000000000001,34.39,0.1826,4431698,8.89M,14.02M,36.60%,2.48%,1.59%,Technology,Software - Infrastructure,USA,107.43M
NCPL,1.79,0.1365,32.59,-0.1429,5581360,4.38M,6.85M,44.13%,2.49%,2.02%,Financial,Capital Markets,USA,14.05M
DAIO,4.25,0.3323,32.4,0.0063,889182,8.93M,9.39M,4.93%,30.55%,0.33%,Technology,Electronic Components,USA,39.93M
TDTH,3.06,0.2593,31.9,-0.0453,367209,-,3.57M,-,0.65%,-,Technology,Information Technology Services,Singapore,10.92M
TURB,1.42,0.3524,30.28,0.0381,2867048,-,11.02M,-,3.92%,-,Technology,Solar,Spain,15.65M
IPST,4.97,0.2455999999999999,28.76,-0.0326,421597,0.59M,0.69M,14.41%,7.26%,8.35%,Financial,Capital Markets,USA,3.43M
AIM,0.44,0.087,27.82,-0.1496,84648626,13.69M,14.56M,6.01%,1.17%,1.00%,Healthcare,Biotechnology,USA,6.35M
BTQ,4.74,0.2185,26.06,-0.0334,7129244,95.82M,141.31M,31.76%,13.91%,7.97%,Technology,Software - Infrastructure,Canada,665.50M
APPS,8.4,0.2582,25.82,0.0,21627583,106.79M,120.32M,11.50%,61.36%,11.34%,Technology,Software - Application,USA,1.01B
ILLR,0.28,0.2403,25.54,-0.012,3587419,177.51M,197.47M,10.11%,0.00%,0.60%,Technology,Software - Application,USA,55.13M
BRR,2.28,0.4074,25.27,0.1235,15319767,66.88M,82.06M,26.16%,41.71%,2.77%,Financial,Capital Markets,USA,206.51M
STIM,1.54,0.2623,25.2,0.0081999999999999,3200643,27.52M,69.58M,60.45%,33.67%,35.02%,Healthcare,Medical Devices,USA,107.17M
PLCE,4.35,0.2219,24.64,-0.0197,948090,7.02M,22.17M,68.38%,15.45%,39.13%,Consumer Cyclical,Apparel Manufacturing,USA,96.62M
LESL,4.39,0.2297,24.36,-0.0112,560923,8.79M,9.36M,6.11%,59.08%,19.97%,Consumer Cyclical,Specialty Retail,USA,41.09M
SPCE,4.53,0.1953,23.43,-0.0317,38090761,100.11M,100.68M,0.57%,16.75%,22.68%,Industrials,Aerospace & Defense,USA,456.10M
ASTI,7.87,0.1625,22.97,-0.0547,3845510,8.51M,9.46M,10.05%,12.62%,13.12%,Technology,Solar,USA,74.47M
AIB,3.61,0.1875,22.79,-0.0329,1019217,11.30M,37.65M,69.99%,0.26%,4.32%,Technology,Software - Application,USA,135.92M
WKHS,4.56,0.2324,22.58,0.0054,646429,9.75M,10.45M,10.52%,1.95%,3.99%,Consumer Cyclical,Auto Manufacturers,USA,49.67M
BRTX,0.48,0.1065,21.24,-0.0873,27709435,23.31M,25.48M,8.50%,7.19%,1.58%,Healthcare,Biotechnology,USA,12.20M
IVDA,0.4,0.2311,21.21,0.0157,1978364,10.59M,11.59M,8.69%,5.67%,1.62%,Industrials,Security & Protection Services,USA,4.64M
DXF,0.78,0.1681,21.05,-0.035,917141,-,1.57M,-,5.72%,-,Financial,Credit Services,China,1.23M
LGHL,1.01,0.0356,20.24,-0.1387,1406455,3.49M,14.47M,24.72%,1.01%,1.33%,Financial,Capital Markets,China,4.69M
