Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
CMCT,9.43,0.8822,2.06%,0.8443,56834769.0,84.43,0.74M,0.75M,6.78%,1.51%,8.92%,7.43M
FTCI,11.1,0.4919,23.33%,0.2097,5426706.0,20.97,10.34M,14.87M,30.50%,4.93%,9.93%,165.11M
LPTX,2.05,3.6856999999999998,238.79%,0.3831,766548468.0,38.31,40.92M,41.44M,27.77%,12.91%,7.11%,116.16M
SI,15.0,0.3204,4.82%,0.2597,490616.0,25.97,10.29M,20.58M,49.45%,3.95%,1.78%,305.40M
SLRX,1.15,0.17350000000000002,-12.21%,0.3367,76279710.0,33.67,1.05M,1.05M,0.08%,0.70%,34.30%,1.21M
VCIG,1.69,0.3,2.42%,0.2692,24318573.0,26.92,6.39M,6.54M,2.38%,0.03%,5.26%,11.06M
