Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
BTAI,BioXcel Therapeutics Inc,Healthcare,Biotechnology,USA,8289999.999999999,,1.37,0.0458,108998172.0
MWYN,Marwynn Holdings Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,23530000.0,,1.38,0.5333,96969052.0
NAMM,Namib Minerals,Basic Materials,Gold,Cayman Islands,228660000.0,,4.26,0.0758,19906799.0
PHLT,Performant Healthcare Inc,Healthcare,Health Information Services,USA,598290000.0,,7.64,1.1521,16798736.0
TNON,Tenon Medical Inc,Healthcare,Medical Devices,USA,11080000.0,,1.46,0.4314,234993097.0
