Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
JLHL,12.79,3.1797000000000004,242.9,0.2189999999999999,75954183,,,,,,,,,
FBRX,36.7,0.7833,72.71,0.0326,4826820,,,,,,,,,
CIRC,0.93,0.534,51.64,0.0116,81521630,,,,,,,,,
WRAP,2.36,0.4843,36.42,0.0881,59899633,,,,,,,,,
RYOJ,3.88,0.3153,32.88,-0.0102,646059,,,,,,,,,
ADTX,0.0,0.375,29.41,0.0625,91777420,,,,,,,,,
PCLA,5.14,0.0867,25.37,-0.1332,325818,,,,,,,,,
