Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
BATL,27.68,1.3458,11.16%,1.1101999999999999,66553094.0,111.02,14.02M,16.46M,14.81%,61.40%,7.37%,455.52M
MOBX,1.12,5.3277,148.89%,1.5424,1331633004.0,154.24,86.18M,103.08M,16.39%,6.86%,6.36%,115.42M
SVRN,0.64,0.47130000000000005,-15.79%,0.7471,108223202.0,74.71,16.94M,31.12M,45.58%,9.44%,0.83%,19.92M
TPET,1.95,0.7411,2.63%,0.6964,302393312.0,69.64,9.63M,12.30M,21.75%,3.14%,4.66%,23.99M
ZD,41.48,0.48090000000000005,-6.95%,0.5916,10592371.0,59.16,35.44M,38.38M,5.89%,117.05%,14.48%,1.56B
