Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
BLFY,11.09,0.4003,7.98%,0.2967,2390516.0,29.67,18.15M,20.76M,12.59%,51.56%,1.99%,230.24M
CJET,1.27,-0.33159999999999995,-48.37%,0.29469999999999996,46516628.0,29.47,0.85M,-,7.59%,0.05%,7.48%,1.16M
ENLV,1.02,0.1374,-35.85%,0.773,207943143.0,77.3,22.76M,24.29M,4.61%,4.58%,0.39%,24.34M
GELS,1.06,0.2039,-6.19%,0.2834,57779544.0,28.34,3.74M,9.44M,60.36%,1.00%,0.20%,10.00M
MFI,13.78,0.20879999999999999,0.15%,0.207,705595.0,20.7,0.53M,4.20M,68.27%,1.34%,8.48%,22.82M
OCG,2.73,0.2188,-5.86%,0.29460000000000003,22817.0,29.46,13.73M,20.73M,33.79%,0.11%,0.69%,56.60M
