Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AHMA,2.69,0.39380000000000004,-10.48%,0.557,39379256.0,55.7,2.15M,10.96M,92.78%,0.33%,6.24%,79.96M
CRE,3.27,0.0381,-22.33%,0.33649999999999997,22910096.0,33.65,1.10M,1.64M,82.04%,0.01%,0.95%,6.59M
CRVO,4.52,0.8226,35.33%,0.3468,200677920.0,34.68,4.80M,9.26M,48.20%,19.11%,5.48%,41.85M
GDHG,1.6,-0.0184,-30.13%,0.40490000000000004,18350816.0,40.49,18.58M,20.03M,7.27%,0.12%,0.01%,32.05M
IVDA,0.51,0.6286999999999999,14.44%,0.42310000000000003,367650368.0,42.31,10.63M,11.59M,8.35%,5.67%,1.58%,5.97M
LPRO,3.11,0.48100000000000004,0.00%,0.48100000000000004,28218754.0,48.1,101.91M,118.22M,13.79%,59.72%,2.29%,367.66M
NIVF,0.7,0.20420000000000002,-8.88%,0.3215,106451936.0,32.15,-,0.57M,0.00%,3.49%,-,0.40M
OBAI,1.11,1.0763,22.39%,0.6964,497839584.0,69.64,14.71M,21.07M,39.89%,0.66%,1.35%,27.15M
SUGP,1.11,0.2606,-53.75%,1.7257,257530912.0,172.57,0.47M,0.56M,67.91%,0.65%,47.79%,1.63M
TDIC,7.6,0.3996,-18.72%,0.7219,17875518.0,72.19,15.39M,37.74M,59.21%,0.01%,0.03%,11.47M
