Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
NTCL,0.56,1.1015,109.83,0.0015,70515821,11.79M,18.49M,46.37%,1.51%,0.98%,Technology,Software - Application,Singapore,11.10M
ASTC,13.81,4.5911,86.37,2.0,145069894,1.38M,1.76M,21.73%,6.42%,3.00%,Technology,Scientific & Technical Instruments,USA,24.29M
QTEX,2.1,0.3815999999999999,66.67,-0.1711,76229518,,,,,,,,,
HOTH,1.36,0.9201,62.78,0.1796,146358573,18.57M,19.13M,2.89%,4.11%,4.33%,Healthcare,Biotechnology,USA,26.01M
AIM,0.4,0.7237,61.73,0.0657,492634241,13.69M,14.56M,6.01%,1.17%,1.00%,Healthcare,Biotechnology,USA,5.84M
TOPP,1.54,0.4528,45.28,0.0,2488743,,,,,,,,,
QTTB,12.85,0.8123999999999999,40.13,0.2934,21076064,,,,,,,,,
VCIG,4.78,0.6483,39.36,0.1828,22594746,,,,,,,,,
OTLK,0.59,0.4629999999999999,38.74,0.0545,80556222,,,,,,,,,
GNTA,0.82,0.3735,35.22,0.0157,7843856,-,23.43M,-,8.70%,-,Healthcare,Biotechnology,Italy,19.22M
RYOJ,5.15,0.3377,34.82,-0.0078,3526613,,,,,,,,,
SUUN,1.04,0.3274,30.0,0.0210999999999999,9984172,,,,,,,,,
VSEE,0.22,0.3449,27.61,0.0538999999999999,37628740,,,,,,,,,
LNAI,2.62,0.2417,25.96,-0.0141999999999999,493654,2.05M,4.47M,54.76%,2.72%,15.18%,Healthcare,Biotechnology,USA,11.88M
CPOP,0.29,0.2743,25.59,0.0147,1997993,20.36M,81.94M,75.15%,0.95%,0.72%,Communication Services,Entertainment,China,24.13M
CISO,0.39,0.2784,25.21,0.021,1645626,40.43M,45.31M,10.79%,6.20%,0.86%,Technology,Software - Infrastructure,USA,17.67M
RCT,0.75,0.2410999999999999,25.0,-0.0070999999999999,55903735,,,,,,,,,
VTIX,4.39,0.4633,24.72,0.1732999999999999,6948134,,,,,,,,,
CDTG,0.37,0.2471,23.03,0.0137,359460,7.17M,13.53M,46.95%,0.68%,0.73%,Industrials,Waste Management,China,4.94M
OMH,1.02,0.2304,22.82,0.0018,314863,,,,,,,,,
DBGI,0.35,0.2193,21.97,-0.0003,5833622,22.99M,22.99M,0.00%,4.20%,5.12%,Consumer Cyclical,Apparel Retail,USA,8.13M
MTVA,3.34,0.1246,21.9,-0.0774,5461679,3.34M,5.16M,35.28%,1.30%,2.07%,Healthcare,Biotechnology,USA,17.25M
AMST,1.9,0.2025,21.02,-0.0063,856099,3.11M,4.74M,46.84%,5.56%,10.68%,Technology,Software - Application,USA,11.12M
ORIS,0.56,0.2167,20.37,0.0109,4381620,,,,,,,,,
NCPL,1.58,0.472,20.23,0.2243,28142097,4.38M,6.85M,44.13%,2.49%,2.02%,Financial,Capital Markets,USA,12.36M
NXL,0.56,0.1643,20.14,-0.0308,1150951,,,,,,,,,
UIS,3.88,0.2087,20.12,0.0062,2518585,,,,,,,,,
