Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
MYND,0.61,1.145,104.88,0.0469,30473302,-,2.11M,0.52%,0.47%,-,Consumer Defensive,Education & Training Services,China,27.96M
VCIG,8.47,0.4629,47.3,-0.0069,11319637,3.91M,6.63M,31.17%,0.33%,4.54%,Industrials,Consulting Services,Malaysia,56.19M
SPPL,3.59,0.3547,40.23,-0.034,643154,9.37M,9.79M,4.24%,0.00%,4.72%,Industrials,Specialty Industrial Machinery,Singapore,35.13M
YMAT,1.37,0.3431,37.0,-0.0196,20219144,2.52M,15.76M,85.35%,0.21%,22.02%,Basic Materials,Specialty Chemicals,Taiwan,21.09M
PRZO,0.93,0.4247999999999999,32.53,0.0751,71104008,25.02M,25.93M,3.51%,5.18%,5.88%,Industrials,Aerospace & Defense,Israel,24.05M
ASTC,49.8,0.6922,32.1,0.281,29791906,1.38M,1.76M,21.73%,6.42%,3.00%,Technology,Scientific & Technical Instruments,USA,87.60M
NTCL,0.99,0.2234,29.46,-0.055,5115432,11.79M,18.49M,46.37%,1.51%,0.98%,Technology,Software - Application,Singapore,19.70M
SPCE,6.18,0.3642,28.75,0.0596,178822224,100.11M,100.68M,0.57%,16.75%,22.68%,Industrials,Aerospace & Defense,USA,622.22M
GITS,2.13,0.3148,27.56,0.0306999999999999,481323,2.20M,3.67M,40.16%,1.69%,0.40%,Communication Services,Internet Content & Information,South Korea,7.83M
HLP,0.61,0.2148,25.79,-0.0343,437932,48.29M,73.44M,35.39%,0.26%,0.57%,Basic Materials,Steel,China,45.78M
APM,1.03,0.2289999999999999,25.59,-0.0215,455693,5.31M,6.35M,34.85%,1.92%,0.25%,Healthcare,Biotechnology,United Kingdom,8.39M
IMRN,1.45,0.1982999999999999,21.85,-0.0165,578296,3.25M,8.17M,-,1.04%,0.81%,Healthcare,Biotechnology,Australia,11.85M
MYSZ,0.62,0.2455,21.59,0.0243,609645,4.20M,4.82M,12.91%,1.74%,2.00%,Technology,Software - Application,Israel,2.99M
CXAI,0.21,0.2142,21.1,0.0026,41713700,60.07M,70.09M,14.30%,7.11%,10.87%,Technology,Software - Application,USA,14.54M
