Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
CWD,1.23,0.9061,-15.75%,1.2625,338029504.0,126.25,,,,,,
DSY,4.47,0.5521,6.68%,0.4549,22718948.0,45.49,,,,,,
LIMN,0.14,0.2413,-14.21%,0.44689999999999996,525168160.0,44.69,,,,,,
PPCB,1.77,0.22920000000000001,-12.37%,0.40259999999999996,53166308.0,40.26,,,,,,
SURG,0.57,0.38079999999999997,-1.72%,0.40490000000000004,177999360.0,40.49,,,,,,
USDE,2.78,0.33649999999999997,-28.35%,0.8654000000000001,50854256.0,86.54,,,,,,
