Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AARD,7.6,0.52,51.09,0.006,3855773,,,,,,,,,
SUNE,3.83,0.4961,50.2,-0.0039,75179164,,,,,,,,,
NVVE,13.67,0.5569,43.29,0.0866,18010711,,,,,,,,,
JZXN,2.17,0.8547,33.95,0.3846,145243142,,,,,,,,,
YAAS,0.99,0.2098,24.14,-0.0255,592880,,,,,,,,,
SNAL,4.94,0.2667,23.81,0.0231,5685897,,,,,,,,,
HLP,1.17,0.1748,21.86,-0.0359,1052503,,,,,,,,,
UBXG,5.25,0.1339,21.53,-0.067,597236,,,,,,,,,
RXT,5.34,0.222,20.27,0.016,41187637,,,,,,,,,
