Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
DFNS,61.5,1.2218,46.74%,0.5141,14148442.0,51.41,,,,,,
EZRA,2.65,0.456,-16.93%,0.7526999999999999,108930771.0,75.27,,,,,,
FCUV,11.5,-0.0086,-25.85%,0.3371,12666479.0,33.71,,,,,,
HYFM,2.15,2.9814999999999996,-30.87%,4.7593,146252253.0,475.93,,,,,,
MGN,0.14,0.8723000000000001,13.98%,0.6426999999999999,985880037.0,64.27,,,,,,
RITR,0.34,5.0496,67.96%,2.6018,1530913235.0,260.18,,,,,,
UPC,6.48,1.0506,-7.69%,1.2215,28031104.0,122.15,,,,,,
YYAI,0.12,0.0,-40.33%,0.6758,492704765.0,67.58,,,,,,
