Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
BAOS,0.76,4.18%,-30.28%,0.49420000000000003,68019528.0,49.42,1034490,1534487,0.016649999,1.0000001e-05,0.0547,1166210
BOXL,7.87,168.60%,72.40%,0.5579999999999999,66171145.0,55.8,655206,667057,0.14797,0.018819999,0.0469,5249738
CHOW,0.5,41.24%,-21.33%,0.7955,239546700.0,79.55,11033841,35490000,0.6891,0.00291,0.0218,17745000
RMCF,1.52,126.02%,-12.64%,1.5874000000000001,203188098.0,158.74,6090233,9439587,0.32514998,0.37063,0.0274,14348172
