Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
AMBR,1.97,34.01%,38.73%,-0.034,1074055,20719994,87028604,0.0,0.35618,0.0058999998,Financial Services,Asset Management,Singapore,185722240
AVAT,1.08,22.59%,25.58%,-0.0237999999999999,2200506,25546730,37914805,0.37313,0.33021998,,Financial Services,Asset Management,United States,40947988
FEAM,2.5,21.36%,29.53%,-0.0630999999999999,3036643,22226835,41647371,0.00369,0.70039004,0.0104,Basic Materials,Specialty Chemicals,United States,104118432
GEMI,5.81,31.15%,27.13%,0.0316,15431913,45669988,54525418,0.03425,0.48756,0.1842,Financial Services,Capital Markets,United States,753279296
IMCC,4.23,143.10%,30.56%,0.8621,104981193,480216,603921,0.117819995,0.01942,0.0219,Healthcare,Drug Manufacturers - Specialty & Generic,Canada,2554585
MRNO,0.34,56.75%,52.52%,0.0277,330328432,4117250,79718832,0.94984,0.00749,0.1727,Real Estate,Real Estate - Development,United Kingdom,27479082
OLOX,1.03,22.28%,26.55%,-0.0337,30249007,1627416,1659347,0.20208,0.01935,0.0395,Industrials,Metal Fabrication,United States,1709127
PRPL,3.19,34.32%,34.03%,0.0021,407934,2256478,4353109,0.049310002,0.5714,0.0442,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,13908748
QMLS,7.3,20.26%,21.26%,-0.0081999999999999,1622717,18446348,33458515,0.47977,0.0,0.026500002,Technology,Software - Infrastructure,United States,244247168
QNME,0.56,92.25%,92.52%,-0.0014,328480593,25776946,34427559,0.25127,0.01889,0.0379,Industrials,Integrated Freight & Logistics,United States,19220908
REFR,0.65,68.49%,68.29%,0.0012,92095952,27190946,34867786,0.15338999,0.13270001,0.013300001,Technology,Electronic Components,United States,22709388
SDEV,1.04,23.63%,21.92%,0.0139999999999999,3169626,22550189,50615437,0.92097,0.033180002,0.0422,Financial Services,Asset Management,United States,52640052
SKYA,1.7,23.72%,23.72%,0.0,1064360,33428784,43247506,0.17117001,0.27028,0.0178,Technology,Software - Infrastructure,United States,73304520
SUIG,1.25,25.16%,21.36%,0.0313,3781756,64574319,76802872,0.19044,0.21818,0.012,Financial Services,Credit Services,United States,96003592
SVRN,20.32,43.20%,22.41%,0.1698,311642,605376,1875816,0.28077,0.028299998,0.0022,Industrials,Marine Shipping,United States,38116580
TJGC,16.84,52.95%,55.06%,-0.0136,2563493,5873365,10100023,0.38968,0.00909,0.0642,Communication Services,Advertising Agencies,Hong Kong,170084384
