Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
BANL,6.09,47.28%,50.37%,-0.0206,2902737,406582,1097935,0.63102,0.025980001,0.0367,Energy,Oil & Gas Midstream,Malaysia,12858402
BOXL,7.87,168.60%,72.40%,0.5579999999999999,66171145,655206,667057,0.14797,0.018819999,0.0469,Technology,Consumer Electronics,United States,5249738
BQ,1.23,52.42%,37.05%,0.1121,120428396,7233407,7298128,0.00053,0.05362,0.010299999,Consumer Cyclical,Specialty Retail,China,9076925
CANG,2.19,27.33%,30.36%,-0.0233,308309,20523005,39321967,0.14569001,0.11214,0.0343,Financial Services,Capital Markets,United States,89838112
CCEL,3.88,10.54%,23.17%,-0.1026,687062,4062205,8062650,0.42032,0.13350001,0.0017,Healthcare,Medical Care Facilities,United States,31283082
CD,4.13,34.53%,32.37%,0.0163,567646,56661701,110003800,0.1319,0.1929,0.074099995,Financial Services,Capital Markets,United States,454315712
FXHO,13.92,34.10%,37.96%,-0.0279,1049617,16384,5193715,0.03806,0.00013,0.0047999998,Technology,Consumer Electronics,China,72296512
INBS,2.54,23.90%,22.12%,0.0146,322873,2170122,3018188,0.02832,0.06964,0.0207,Healthcare,Medical Devices,United States,7666197
IVDA,0.37,23.49%,23.08%,0.0034,91668160,10703142,11594027,0.00271,0.14130001,0.0175,Industrials,Security & Protection Services,United States,4266602
MVIS,4.65,27.75%,26.70%,0.0081999999999999,1839539,23411854,23788425,0.01812,0.17483,0.1515,Technology,Scientific & Technical Instruments,United States,110616176
NXTC,8.17,21.40%,21.04%,0.003,493351,1537416,4577359,0.13141,0.49569,0.3254,Healthcare,Biotechnology,United States,37397024
SION,6.25,22.55%,25.25%,-0.0216,9438013,16725423,45150330,0.0684,1.00126,0.1506,Healthcare,Biotechnology,United States,282189536
XHLD,5.35,49.86%,35.44%,0.1064,21791358,10188133,11977443,0.13074,0.00621,0.0049,Communication Services,Broadcasting,United States,64079320
ZJYL,3.49,17.11%,37.40%,-0.1477,349657,1941269,6827383,0.080579996,6.0000002e-05,0.0021,Healthcare,Medical Instruments & Supplies,China,27317566
