Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CWD,CaliberCos Inc,Financial,Asset Management,USA,20020000.0,,7.81,0.22949999999999998,30574945.0
FGNX,FG Nexus Inc,Financial,Asset Management,USA,11560000.0,2.29,8.7,0.2775,6072882.0
HIND,Vyome Holdings Inc,Healthcare,Biotechnology,USA,4520000.0,,6.72,0.1117,13642459.0
IPM,Intelligent Protection Management Corp,Technology,Software - Application,USA,22450000.0,,2.43,0.2591,55099598.0
NFE,New Fortress Energy Inc,Energy,Oil & Gas Midstream,USA,661590000.0,,2.33,0.1625,107343204.0
SPRC,SciSparc Ltd,Healthcare,Biotechnology,Israel,2200000.0,,4.14,1.25,106892994.0
SQFT,Presidio Property Trust Inc,Real Estate,REIT - Diversified,USA,13450000.0,,9.27,0.5272,15990079.0
