Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AEON,0.29,27.66%,-7.70%,0.3831,9413220.0,38.31,24010083,49882790,0.53472,0.32749,0.03,11522925
SNYR,0.13,60.46%,-9.42%,0.7715000000000001,36222636.0,77.15,8170053,14899883,0.47976002,0.04513,0.0232,1232220
