Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AMOD,Alpha Modus Holdings Inc,Technology,Software - Application,USA,25580000.0,,1.85,0.5948,138410398.0
ANEB,Anebulo Pharmaceuticals Inc,Healthcare,Biotechnology,USA,136810000.0,,3.33,0.8197,19950543.0
DNUT,Krispy Kreme Inc,Consumer Defensive,Grocery Stores,USA,737860000.0,,4.32,0.046,151687529.0
GPRO,GoPro Inc,Technology,Consumer Electronics,USA,246690000.0,,1.54,0.1241,250870004.0
OFAL,OFA Group,Industrials,Engineering & Construction,Hong Kong,29930000.0,,2.24,0.2948,27305577.0
PAPL,Pineapple Financial Inc,Industrials,Rental & Leasing Services,Canada,5950000.0,,5.95,0.7,25573861.0
PLRZ,Polyrizon Ltd,Healthcare,Biotechnology,Israel,11060000.0,,1.88,0.2966,62926368.0
PRG,PROG Holdings Inc,Industrials,Rental & Leasing Services,USA,1350000000.0,6.58,33.37,0.1664,1127209.0
RNAZ,TransCode Therapeutics Inc,Healthcare,Biotechnology,USA,9400000.0,,11.27,0.19390000000000002,4155651.0
USNA,Usana Health Sciences Inc,Consumer Defensive,Packaged Foods,USA,659820000.0,19.67,35.43,0.12369999999999999,370401.0
