Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
PCLA,6.97,1.2704,131.56,-0.0195,7434242,,,,,,,,,
SDOT,21.45,2.4709,86.52,0.8608,45343736,,,,,,,,,
WSHP,8.0,0.6984999999999999,66.67,0.0191,8277588,,,,,,,,,
CRIS,0.32,0.5598,51.42,0.0301,109831896,,,,,,,,,
NNOX,1.09,0.2395,36.49,-0.0919,28482526,,,,,,,,,
LVWR,1.38,0.3663,35.29,0.0098999999999999,4237788,,,,,,,,,
CALC,0.82,0.3029,34.97,-0.0347,2931637,,,,,,,,,
IVF,2.45,0.9758,32.43,0.4919,115626792,,,,,,,,,
RYOJ,2.69,0.2902,31.22,-0.0168,9989283,,,,,,,,,
CABO,52.87,0.3006,30.8,-0.0056999999999999,573844,,,,,,,,,
LNZA,7.11,0.288,28.8,0.0,765391,,,,,,,,,
HKIT,0.28,0.2741,27.99,-0.0045,129738080,,,,,,,,,
PED,15.41,0.295,27.88,0.0126,635266,,,,,,,,,
FUBO,9.91,0.225,24.03,-0.0124,3822489,,,,,,,,,
PYXS,2.77,0.2422,23.66,0.0045,6883343,,,,,,,,,
FJET,5.4,0.2329,23.29,0.0,7410241,,,,,,,,,
WKSP,1.15,0.1917,22.35,-0.026,8857809,,,,,,,,,
ZTEK,0.49,0.2556,21.21,0.0359,2164167,,,,,,,,,
