Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ADTX,1.74,0.2254,-13.00%,0.40850000000000003,39649071.0,40.85,-,0.05M,0.00%,0.08%,-,0.97M
ANDG,23.5,0.46880000000000005,11.90%,0.3125,7664577.0,31.25,-,11.00M,-,-,-,258.50M
ATPC,0.14,0.5644,-6.26%,0.6689,352697223.0,66.89,4.76M,50.01M,90.49%,0.19%,0.02%,7.04M
DBVT,22.55,0.25420000000000004,-10.87%,0.4071,3941054.0,40.71,32.94M,40.14M,17.94%,33.81%,0.10%,905.16M
ISPO,4.17,0.4683,0.24%,0.4648,9360042.0,46.48,4.56M,12.63M,63.92%,7.06%,0.84%,52.67M
UDMY,6.05,0.1266,-14.43%,0.3166,31511938.0,31.66,91.53M,147.08M,37.47%,56.25%,6.57%,885.58M
VYNE,0.6,0.4899,-14.29%,0.7383,258549012.0,73.83,31.15M,31.77M,6.43%,10.18%,1.89%,19.97M
YCBD,2.27,0.5874,13.50%,0.3986,150625568.0,39.86,7.78M,8.91M,12.73%,4.89%,9.34%,20.24M
