Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding
AKA,1.58,0.86,0.42200000000000004,0.3601,0.1514,-0.4736,1.0656999999999999,76.19,14.46,0.3861,1.62%,0.364,315733.0,36.4,0.48M,10.75M
AQMS,0.32,3.42,3.1658,4.7745999999999995,1.4698,-0.14980000000000002,7.7893,89.78,29.62,1.9889,75.27%,0.7053,34317866.0,70.53,1.55M,1.85M
AREC,1.01,0.56,0.9869,1.7762,4.6479,0.3121,16.9211,88.62,6.81,0.3675,13.50%,0.2048,46960138.0,20.48,58.43M,84.31M
ATXS,0.15,0.71,0.48469999999999996,0.6015999999999999,0.8240999999999999,-0.0723,2.2658,83.87,11.61,0.37070000000000003,-2.68%,0.40850000000000003,34660758.0,40.85,45.29M,56.43M
CYN,0.07,0.54,-0.0292,-0.0219,-0.6498999999999999,-0.9956999999999999,0.5746,47.03,5.7,0.0364,-15.30%,0.2236,24277132.0,22.36,7.03M,7.04M
ELAB,0.09,0.96,0.5729,0.522,-0.4805,-0.99,1.1074,72.5,9.03,0.7332,-6.81%,0.8599,20249412.0,85.99,0.61M,0.68M
GWAV,0.39,1.96,1.3522,0.6678000000000001,-0.325,-0.8536,1.9153,79.98,17.55,1.0623,1.62%,1.0293999999999999,25792534.0,102.94,0.48M,0.57M
JDZG,-5.82,0.22,0.5326,0.5483,-0.2091,-0.8590000000000001,0.8987,77.39,3.0,0.5957,16.28%,0.37229999999999996,44392479.0,37.23,0.60M,3.05M
LSE,,0.3,0.1007,0.0924,0.024900000000000002,-0.6091,0.5585,62.86,5.86,0.1057,-12.93%,0.2698,63082.0,26.98,1.52M,17.02M
NVA,-3.09,5.74,2.2834,3.5578,4.5192000000000005,0.9628,9.9679,94.6,71.84,1.103,24.53%,0.6888,9405885.0,68.88,-,5.38M
SSKN,0.53,0.3,0.1363,0.1702,-0.0926,-0.43520000000000003,0.5797,56.39,2.18,0.4156,-14.51%,0.6557999999999999,103202472.0,65.58,3.30M,4.17M
TMQ,0.85,0.96,1.9457,3.2842000000000002,5.2449,0.3283,20.855700000000002,89.64,10.6,0.6159,32.50%,0.2195,149189915.0,21.95,99.34M,164.29M
