Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
ZZYBT,8.01,10.4756,530.71,0.8195,166017536,,,,,,,,,
GGMM,3.51,0.3711,33.97,0.0233999999999999,26741943,,,,,,,,,
AADVB,8.9,0.7694,32.64,0.3339999999999999,52863121,,,,,,,,,
OONCO,1.0,0.3154,32.26,-0.0054,1094266,,,,,,,,,
YYOUL,0.64,0.2803,27.87,0.0012,4200088,,,,,,,,,
GGREE,2.13,0.2455999999999999,25.29,-0.0058,1070780,,,,,,,,,
AAGPU,8.71,0.2678,24.61,0.0175,813103,,,,,,,,,
LLVWR,0.82,0.1875,24.3,-0.0446,563749,,,,,,,,,
SSTIM,2.02,0.2469,20.24,0.037,7016336,,,,,,,,,
