Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
AIFF,Firefly Neuroscience Inc,Technology,Software - Application,USA,35240000.0,,2.74,-0.0867,23968070.0
BASE,Couchbase Inc,Technology,Software - Infrastructure,USA,1320000000.0,,24.49,0.2937,13424166.0
JFB,JFB Construction Holdings,Real Estate,Real Estate - Development,USA,49120000.0,1327.5,5.31,0.0351,49959.0
JUNS,Jupiter Neurosciences Inc,Healthcare,Biotechnology,USA,36750000.0,,1.11,0.1807,198551.0
LGCL,Lucas GC Ltd,Technology,Software - Application,China,81850000.0,14.53,1.03,0.5158,11165883.0
LUCY,Innovative Eyewear Inc,Healthcare,Medical Instruments & Supplies,USA,10930000.0,,3.53,0.5482,111208808.0
NTCL,NetClass Technology Inc,Technology,Software - Application,China,28370000.0,,1.8,0.2245,9896011.0
WHLR,Wheeler Real Estate Investment Trust Inc,Real Estate,REIT - Retail,USA,4019999.9999999995,,7.2,1.1053,52350712.0
