Ticker,Price,Change,Change from Open,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
SSTKH,3.6,1.6666999999999998,166.67,0.0,33590313,,,,,,,,,
EEGG,3.81,0.8584999999999999,86.76,-0.0049,21116985,,,,,,,,,
CCNET,1.41,0.41,41.01,-0.0001,3248062,,,,,,,,,
SSTFS,3.63,0.1941,29.64,-0.0789,4401519,,,,,,,,,
MMPLT,12.31,0.2428,28.77,-0.0348,5546204,,,,,,,,,
RRYOJ,4.99,0.3132,24.75,0.0526,382047,,,,,,,,,
AAMSS,1.07,0.2477,24.71,0.0005,6578356,,,,,,,,,
NNEXR,0.34,0.3369,24.43,0.0745,38603195,,,,,,,,,
OONMD,0.71,0.1702,24.39,-0.0593,22931796,,,,,,,,,
PPSQH,3.7,0.2012999999999999,22.52,-0.0195,1575747,,,,,,,,,
BBOT,30.36,0.1689999999999999,21.1,-0.0347,1032876,,,,,,,,,
