Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AQST,4.1,0.3898,2.76%,0.3525,60972802.0,35.25,114.26M,121.66M,6.35%,51.56%,17.76%,500.21M
ATPC,0.07,0.0397,-22.74%,0.3456,3446698.0,34.56,4.76M,50.01M,90.49%,0.17%,26.54%,3.67M
CISS,1.95,0.06559999999999999,-22.31%,0.3716,41616499.0,37.16,0.19M,0.22M,12.30%,32.25%,1.59%,0.43M
DKI,0.95,1.8529,-19.49%,2.5435,211027062.0,254.35,3.81M,14.68M,78.48%,0.72%,1.22%,16.83M
FUSE,2.7,0.7089,16.38%,0.46840000000000004,197313778.0,46.84,18.44M,28.35M,34.96%,22.99%,0.43%,76.54M
IPW,3.97,-0.08529999999999999,-31.43%,0.33409999999999995,5057215.0,33.41,0.38M,1.05M,66.78%,3.37%,16.86%,4.56M
PKST,20.79,0.331,-0.29%,0.3348,10243400.0,33.48,35.60M,36.79M,3.23%,54.52%,5.40%,764.88M
RPGL,0.84,0.5909,11.99%,0.42060000000000003,49255176.0,42.06,6.14M,17.35M,64.62%,0.39%,1.09%,14.57M
SWVL,2.14,0.18230000000000002,-9.32%,0.3039,42883316.0,30.39,6.21M,10.72M,42.03%,0.12%,0.41%,22.94M
SXTC,0.04,0.39030000000000004,-36.43%,1.1871,678074568.0,118.71,82.80M,128.03M,35.32%,0.24%,4.12%,5.52M
VHUB,8.08,0.2586,-37.85%,1.0249,9774138.0,102.49,-,74.89M,-,-,-,605.11M
XTKG,0.33,0.5548,8.97%,0.4268,103027286.0,42.68,16.01M,16.01M,0.00%,0.16%,1.06%,5.35M
