Ticker,Price,Change %,Change from Open %,Gap,Volume,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float,Sector,Industry,Country,Market Cap
EEPOW,0.49,20.99%,22.50%,-0.0123,2271325,,,,,,,,,
EEXFY,2.69,35.86%,23.96%,0.096,5894213,,,,,,,,,
HHUIZ,1.66,37.18%,40.68%,-0.0249,28616777,,,,,,,,,
OOABI,3.08,37.50%,29.96%,0.0579999999999999,2681407,,,,,,,,,
RRCEL,7.77,63.58%,29.28%,0.2653,7274963,,,,,,,,,
SSENS,7.02,36.31%,21.87%,0.1184,2227445,,,,,,,,,
TTNDM,22.38,19.11%,28.69%,-0.0745,5435937,,,,,,,,,
UUXIN,1.28,26.73%,26.73%,0.0,1426297,,,,,,,,,
VVIVS,0.47,41.86%,44.44%,-0.0179,97915627,,,,,,,,,
VVSA,3.8,24.59%,25.41%,-0.0066,3171153,,,,,,,,,
WWWR,0.77,87.76%,82.36%,0.0296,131558469,,,,,,,,,
YYJ,3.4,176.42%,146.38%,0.122,51221898,,,,,,,,,
ZZJYL,2.15,11.98%,20.79%,-0.0729,6326815,,,,,,,,,
