Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,Gain_%,Shs Float,Shares Outstanding,Insider Own,Inst Own,Short Float
HCWB,HCW Biologics Inc,Healthcare,Biotechnology,USA,16360000.0,,2.43,193443933,1.2925,5.10M,6.73M,24.24%,12.23%,11.19%
SLXN,Silexion Therapeutics Corp,Healthcare,Biotechnology,Israel,2220000.0,,0.53,326419267,0.9695,3.89M,4.19M,7.13%,1.60%,0.85%
GCL,GCL Global Holdings Ltd,Communication Services,Electronic Gaming & Multimedia,Singapore,88150000.0,,0.74,121692320,0.7245999999999999,15.95M,121.95M,86.53%,0.16%,0.39%
PHGE,BiomX Inc,Healthcare,Biotechnology,USA,6040000.0,,0.6,204178192,0.596,5.89M,10.11M,41.72%,1.82%,1.55%
MTVA,MetaVia Inc,Healthcare,Biotechnology,USA,14930000.0,,2.89,61501298,0.5372,3.34M,5.16M,35.28%,1.30%,2.42%
MWC,Micware Co Ltd ADR,Consumer Cyclical,Auto Parts,Japan,421780000.0,40.12,7.15,39250263,0.5147999999999999,-,56.14M,-,-,-
