Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
APOG,Apogee Enterprises Inc,Industrials,Building Products & Equipment,USA,905860000.0,17.92,41.99,0.058499999999999996,1512026.0
BBLG,Bone Biologics Corp,Healthcare,Medical Devices,USA,2500000.0,,4.58,0.10099999999999999,26568505.0
BGL,Blue Gold Ltd,Basic Materials,Gold,USA,427500000.0,942.68,62.5,2.1079,385539.0
CYN,Cyngn Inc,Technology,Software - Application,USA,28610000.0,,16.33,0.2007,65606630.0
GCTK,GlucoTrack Inc,Healthcare,Medical Instruments & Supplies,USA,3720000.0,,6.56,0.25670000000000004,5336036.0
INMB,INmune Bio Inc,Healthcare,Biotechnology,USA,123710000.0,,5.33,-0.15130000000000002,59225257.0
IROH,Iron Horse Acquisitions Corp,Financial,Shell Companies,USA,97570000.0,98.92,11.0,0.1134,94882.0
LCFY,Locafy Limited,Communication Services,Internet Content & Information,Australia,11450000.0,,8.3,2.2549,95313147.0
MMA,Mixed Martial Arts Group Ltd,Consumer Cyclical,Leisure,Australia,15000000.0,,1.15,0.036000000000000004,3895446.0
NAOV,NanoVibronix Inc,Healthcare,Medical Devices,USA,3030000.0,,1.17,0.34619999999999995,36720223.0
