Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding
FMFC,,1.74,-0.2686,-0.085,0.0698,-0.37079999999999996,1.3595,38.07,9.91,0.1714,-17.49%,0.41960000000000003,603937.0,41.96,-,15.30M
GWH,1.23,0.44,1.3463,1.5087000000000002,0.5301,-0.5889,4.473,84.36,4.16,1.4186,12.13%,1.157,279308443.0,115.7,9.35M,12.90M
INTG,0.17,1.42,0.2225,0.4917,0.7288,0.131,1.4816999999999998,79.31,23.75,0.16940000000000002,-3.06%,0.20629999999999998,6708.0,20.63,0.61M,2.15M
ORBS,2.9,3.25,-0.0955,0.2468,2.2622999999999998,-0.8815999999999999,9.082,49.27,9.84,0.1659,-9.56%,0.2891,15484592.0,28.91,149.81M,181.47M
PWM,3.16,0.12,0.6661,1.0761,0.8334999999999999,-0.5667,2.7718000000000003,86.07,1.17,0.125,-16.43%,0.34619999999999995,51907359.0,34.62,1.78M,18.89M
QNRX,1.66,2.88,1.4963,1.6797,1.0818,-0.6269,3.0918,92.84,20.5,1.5123,67.90%,0.4963,13706151.0,49.63,-,0.59M
SGBX,2.02,1.51,-0.06280000000000001,-0.4239,-0.8059000000000001,-0.9492,1.08,43.69,6.24,0.9259000000000001,12.43%,0.713,74607189.0,71.3,0.45M,0.48M
SLE,1.99,0.86,-0.0369,0.09480000000000001,-0.6107,-0.9077,0.5309,50.82,4.21,0.1826,-12.47%,0.35109999999999997,23794974.0,35.11,1.25M,1.37M
YHGJ,0.4,0.95,0.6075,0.5851,0.2526,-0.2661,1.1445,76.09,9.32,0.5533,16.50%,0.3333,6158158.0,33.33,0.68M,2.77M
YSXT,,0.4,-0.0489,-0.0132,-0.3346,-0.7490000000000001,0.48810000000000003,48.21,2.5,0.21359999999999998,-0.40%,0.2184,1106655.0,21.84,8.85M,22.26M
