Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AREB,3.77,0.7535,39.63%,0.25579999999999997,69776340.0,25.58,0.50M,0.65M,23.07%,2.68%,14.01%,2.45M
BATL,1.35,0.15380000000000002,-10.00%,0.2821,5392132.0,28.21,13.97M,16.46M,15.13%,62.15%,2.99%,22.21M
BIOA,7.95,0.314,-0.63%,0.3223,5137556.0,32.23,21.05M,35.85M,41.29%,33.98%,11.84%,285.00M
GTIM,2.03,0.1734,-2.87%,0.20809999999999998,1087753.0,20.81,7.88M,10.57M,25.33%,12.01%,0.43%,21.41M
IBIO,1.27,-0.0863,-26.16%,0.23739999999999997,29284528.0,23.74,19.12M,19.35M,5.61%,15.86%,2.47%,25.72M
IMCC,1.68,-0.0968,-34.12%,0.371,22950779.0,37.1,1.71M,4.04M,44.66%,3.40%,2.58%,8.82M
RBNE,1.37,0.0787,-14.38%,0.25980000000000003,48218798.0,25.98,12.05M,12.63M,4.60%,1.02%,5.54%,17.30M
SCNX,2.6,3.5494,185.71%,0.5922999999999999,777980655.0,59.23,16.94M,23.23M,27.10%,5.73%,2.49%,60.42M
SGBX,2.96,0.2982,-3.27%,0.3421,39678383.0,34.21,0.45M,0.48M,7.85%,4.41%,26.64%,1.43M
SLMT,11.41,0.3665,-7.24%,0.4731,10543824.0,47.31,1.55M,2.41M,35.87%,-,74.55%,7.24M
VTYX,6.6,0.7098,-12.00%,0.943,116498034.0,94.3,63.19M,71.23M,11.39%,62.21%,7.49%,470.63M
