Ticker,Price,Change %,Change from Open %,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AKAN,6.45,28.74%,-17.41%,0.5589,14038970.0,55.89,537663.0,540841,0.00587,0.012610001,0.032,3488424
BOXL,6.95,2.21%,-21.65%,0.3044,4082130.0,30.44,655206.0,667057,0.14797,0.012159999,0.0469,4636046
CAPR,6.65,57.96%,-13.19%,0.8195,66333884.0,81.95,45592875.0,58108989,0.09474,0.69864,0.3049,386424768
CGTL,4.41,19.84%,-12.33%,0.3668,17573165.0,36.68,1091667.0,1148333,0.04935,0.00324,1.1358,7563145
ETON,58.86,44.26%,7.15%,0.34630000000000005,2318188.0,34.63,21963567.0,28583135,0.053990003,0.70966005,0.0674,1682403456
HHS,4.3,53.02%,1.65%,0.5053,4667320.0,50.53,3282299.0,7419470,0.4731,0.31535998,0.0023999999,31903722
MDXH,0.81,74.89%,33.00%,0.31489999999999996,326589347.0,31.49,41027087.0,51364520,0.11128,0.37745,0.0274,41502532
MF,13.0,30.00%,-0.31%,0.304,3856928.0,30.4,799404.0,1511651,0.20455,0.00029,0.067600004,23634416
SKYE,0.5,-7.30%,-41.69%,0.5896,6604361.0,58.96,21709683.0,35143722,0.042729996,0.45943,0.052600004,17624576
STKH,3.6,25.00%,-31.56%,0.8264,29162727.0,82.64,,591689,0.094849996,0.0251,0.59580004,2130080
SURG,0.28,14.36%,-28.48%,0.5989,290808324.0,59.89,16998479.0,25121895,0.37043998,0.08733,0.1017,7084375
SXTC,4.33,31.21%,-5.87%,0.39390000000000003,16110811.0,39.39,399307.0,533976,,,0.108,2312116
WETO,8.22,127.70%,-22.82%,1.9501,63041918.0,195.01,176268.0,820800,0.01512,0.0002,0.0089,6746976
