Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AZI,1.98,0.7368000000000001,4.76%,0.6579,65723137.0,65.79,,,,,,
FCUV,4.76,0.07690000000000001,-21.06%,0.3643,28228110.0,36.43,,,,,,
ILLR,3.05,2.9657,19.14%,2.3286000000000002,216000380.0,232.86,,,,,,
IQST,1.59,0.4722,5.30%,0.3981,103448091.0,39.81,,,,,,
KUST,1.43,0.006999999999999999,-33.49%,0.5141,85831745.0,51.41,,,,,,
MIMI,3.23,0.19190000000000002,-18.43%,0.46130000000000004,47211289.0,46.13,,,,,,
NEXR,1.1,0.9556,45.56%,0.3435,318385122.0,34.35,,,,,,
WYY,20.2,0.1464,-15.83%,0.36210000000000003,5874986.0,36.21,,,,,,
