Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Volume,Gain_%,Shs Float,Insider Own,Inst Own,Short Float
CREG,Smart Powerr Corp,Utilities,Utilities - Renewable,China,16399999.999999998,,0.71,514419541,2.5715,22.51M,1.96%,0.61%,4.59%
LESL,Leslies Inc,Consumer Cyclical,Specialty Retail,USA,32759999.999999996,,3.5,41182593,1.4476,9.22M,1.07%,60.44%,10.59%
DXF,Eason Technology Ltd ADR,Financial,Credit Services,China,2750000.0,,1.75,95552005,1.3019999999999998,-,-,4.96%,-
QUCY,Quantum Cyber NV,Healthcare,Diagnostics & Research,Germany,37550000.0,,3.0,266890083,1.2388,10.68M,14.69%,9.28%,8.99%
YMAT,J-Star Holding Co Ltd,Basic Materials,Specialty Chemicals,Taiwan,32159999.999999996,50.54,1.87,27996378,1.1887,2.52M,85.35%,0.29%,0.81%
AIIO,Robo.ai Inc,Consumer Cyclical,Auto Manufacturers,United Arab Emirates,110570000.0,,5.64,163208365,1.1609,13.53M,75.01%,0.23%,2.60%
SNAL,Snail Inc,Communication Services,Electronic Gaming & Multimedia,USA,46030000.0,,1.08,275305929,1.151,13.29M,68.81%,1.44%,11.46%
MOBX,Mobix Labs Inc,Technology,Semiconductors,USA,33110000.0,,3.11,157927528,0.7874,8.66M,30.42%,7.12%,16.12%
YOOV,Concorde International Group Ltd,Industrials,Security & Protection Services,Singapore,276920000.0,,1.22,61043065,0.7617,183.13M,19.32%,0.05%,0.01%
