Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
ADGM,0.8,0.7391,33.20%,0.3057,476012110.0,30.57,,,,,,
AMIX,19.5,4.3425,262.45%,0.474,120033149.0,47.4,,,,,,
AMRC,27.94,0.22920000000000001,-12.50%,0.4048,3004064.0,40.48,,,,,,
DXST,2.71,0.1991,-9.36%,0.32299999999999995,11933929.0,32.3,,,,,,
ELPW,0.16,0.5195000000000001,1.27%,0.5005,433664297.0,50.05,,,,,,
ENSC,0.38,0.37170000000000003,-11.41%,0.5484,182036219.0,54.84,,,,,,
MOVE,13.73,0.276,-26.89%,0.7454000000000001,7407502.0,74.54,,,,,,
NUWE,1.88,0.1677,-11.74%,0.32299999999999995,35730775.0,32.3,,,,,,
QNME,0.69,1.2064,-38.14%,2.5669,122173317.0,256.69,,,,,,
TNMG,0.48,0.3306,-38.93%,1.179,255506040.0,117.9,,,,,,
