Ticker,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding,Insider Ownership,Institutional Ownership,Short Float,Market Cap
AMST,1.73,1.2006999999999999,-27.62%,2.0403000000000002,148500039.0,204.03,3.39M,4.74M,37.70%,5.99%,9.67%,9.40M
CODX,1.97,0.43799999999999994,1.03%,0.42340000000000005,114673190.0,42.34,3.42M,3.60M,4.98%,1.44%,2.77%,7.10M
INM,1.6,1.3505,-9.60%,1.6003,92233205.0,160.03,3.31M,3.31M,0.17%,12.06%,1.07%,5.30M
MTVA,1.88,0.6937000000000001,5.03%,0.6126,83505735.0,61.26,3.34M,5.16M,35.28%,1.30%,2.42%,9.71M
VRAX,0.31,0.31489999999999996,-12.69%,0.506,179394023.0,50.6,19.57M,19.92M,1.79%,4.62%,0.73%,6.16M
WNW,4.75,0.971,15.57%,0.7054,51037172.0,70.54,1.20M,1.33M,10.15%,0.56%,0.79%,6.32M
