Ticker,Beta,ATR,SMA20,SMA50,SMA200,52W High,52W Low,RSI,Price,Change,Change from Open,Gap,Volume,Gap%,Shs Float,Shares Outstanding
ACHV,1.58,0.26,0.3187,0.40340000000000004,0.4362,-0.209,1.2826,74.36,4.2,0.3636,5.26%,0.2955,15923046.0,29.55,41.28M,49.69M
AKAN,1.77,0.56,-0.2548,-0.3452,-0.4474,-0.7535,0.08529999999999999,36.96,2.29,0.0269,-16.42%,0.22870000000000001,16078500.0,22.87,0.73M,0.73M
ARTV,2.74,0.53,0.9773000000000001,1.0693000000000001,0.7773,-0.612,3.0883999999999996,82.92,6.01,1.1697,7.32%,1.0217,99802917.0,102.17,12.44M,24.39M
CREV,1.91,0.44,0.2693,0.2526,0.42869999999999997,-0.5811999999999999,1.67,68.49,5.34,0.4336,18.67%,0.20809999999999998,26112385.0,20.81,1.54M,6.27M
ELBM,2.37,1.0,0.16269999999999998,0.6422,0.7206999999999999,-0.7448,1.8831,51.4,2.22,0.35369999999999996,-11.20%,0.5244,61004348.0,52.44,17.70M,17.96M
KZR,0.64,0.39,0.5483,0.5913,0.3322,-0.2605,0.8,84.08,6.36,0.5252,12.37%,0.35729999999999995,5922531.0,35.73,6.24M,7.32M
RANI,-0.01,0.17,2.0038,2.0846,0.8062999999999999,-0.4163,3.2377,92.99,1.64,2.4827,19.71%,1.9093,484871028.0,190.93,35.99M,39.24M
SGBX,2.08,1.35,-0.42590000000000006,-0.6814,-0.9041,-0.9754,0.0067,34.28,3.02,-0.0195,-20.73%,0.237,22093213.0,23.7,-,0.19M
VHC,1.89,2.0,0.37979999999999997,0.4796,1.0828,0.10869999999999999,5.4864,76.75,23.87,0.40409999999999996,9.70%,0.28,2229396.0,28.0,3.54M,4.27M
XRTX,0.24,0.09,0.26649999999999996,0.305,0.1946,-0.47240000000000004,0.6646,75.07,1.1,0.29410000000000003,-6.78%,0.3882,111445835.0,38.82,5.00M,5.21M
